FID,Location,Type,Name_of_Co,Multinatio
1332, ,FD,TALLY WEIJL,Y
1333, ,FD,Cloth,N
1334, ,FD,Clayton abbigliamento uomo,Y
1335, ,FD,PittaRosso,Y
1336, ,Art,Theator,N
1337, ,Craft,Pandora Concept Store,Y
1338, ,FD,Kasanova,Y
1339, ,FD,Bata,Y
1340, ,Craft,Gioielleria Gagliardi,N
1341, ,Art,Gallary,N
1342, ,IT,IT,N
1343, ,IT,Game,N
1344, ,FD,Desigual,Y
1345, ,FD,Camaieu,Y
1346, ,FD,Yves Rocher,Y
1347, ,FD,Camper,Y
1348, ,FD,Parashop Italy Srl,Y
1349, ,Arch,Arch,N
1350, ,FD,Mango,Y
1351, ,FD,Sisley,Y
1352, ,FD,United Colors of Benetton,Y
1353, ,Art,Party Magic,N
1354, ,IT,TTS - Technology Transfer System,N
1355, ,FD,Pacer,N
1356, ,Arch,Arch,N
1357, ,Craft,Craft,N
1358, ,Film,Camera,N
1359, ,Music,Music,N
1360, ,Arch,Arch,N
1361, ,Art,Grossich Art Supply Store,N
1362, ,IT,SOFTline,N
1363, ,Arch,Arch,N
1364, ,Publish,P,N
1365, ,Arch,Arch,N
1366, ,Art,Muesum,N
1367, ,Film,Camera,N
1368, ,Craft,Craft,N
1369, ,Film,Video,N
1370, ,Arch,Arch,N
1371, ,Art,Art,N
1372, ,Music,Music,N
1373, ,FD,Cloth,N
1374, ,Craft,Jewel,N
1375, ,Craft,Bijoux Lina,N
1376, ,Art,Art,N
1377, ,Arch,Arch,N
1378, ,Craft,Lanfossi Gioielli,N
1379, ,IT,WIND,Y
1380, ,FD,Profumeria Marionnaud,N
1381, ,FD,Cloth,N
1382, ,Advertising,AD,N
1383, ,Advertising,AD,N
1384, ,Arch,Arch,N
1385, ,Art,Design,N
1386, ,IT,Game,N
1387, ,FD,Perfume,N
1388, ,Art,Art,N
1389, ,Advertising,AD,N
1390, ,Publish,P,N
1391, ,Arch,Arch,N
1392, ,Craft,Craft,N
1393, ,Art,Art,N
1394, ,Art,Model,N
1395, ,Film,Video,N
1396, ,FD,Cloth,N
1397, ,Music,Music,N
1398, ,FD,Facis,N
1399, ,FD,Cloth,N
1400, ,Art,Design,N
1401, ,Arch,Arch,N
1402, ,IT,IT,N
1403, ,IT,IT,N
1404, ,IT,TIM,Y
1405, ,Craft,Craft,N
1406, ,Arch,Arch,N
1407, ,Arch,Arch,N
1408, ,Craft,Bricocenter,N
1409, ,IT,IT,N
1410, ,Craft,Craft,N
1411, ,IT,Game,N
1412, ,Art,Art,N
1413, ,Advertising,AD,N
1414, ,Art,Theator,N
1415, ,Advertising,AD,N
1416, ,Art,Design,N
1417, ,Art,Dance,N
1418, ,Film,Photo,N
1419, ,FD,OVS Outlet,N
1420, ,Music,Music,N
1421, ,Craft,C,N
1422, ,Craft,C,N
1423, ,Film,Photo,N
1424, ,IT,TIM,Y
1425, ,Art,Art,N
1426, ,Art,Theator,N
1427, ,FD,Cloth,N
1428, ,Craft,Craft,N
1429, ,Craft,Craft,N
1430, ,FD,Dainese Store Milan,Y
1431, ,FD,poltronesofà S.p.A.,Y
1432, ,FD,Perfume,N
1433, ,Music,Music,N
1434, ,Film,Photo,N
1435, ,Film,Photo,N
1436, ,FD,Cloth,N
1437, ,Film,Photo,N
1438, ,Arch,Arch,N
1439, ,Advertising,AD,N
1440, ,Art,Design,N
1441, ,Advertising,AD,N
1442, ,Arch,Arch,N
1443, ,Art,Design,N
1444, ,Art,Design,N
1445, ,FIlm,Photo,N
1446, ,Film,Video,N
1447, ,IT,Software,N
1448, ,Advertising,AD,N
1449, ,Art,Theatro,N
1450, ,Arch,Arch,N
1451, ,FD,Cloth,N
1452, ,Advertising,AD,N
1453, ,FD,Cloth,N
1454, ,Arch,Arch,N
1455, ,Music,Music,N
1456, ,FD,Cloth,N
1457, ,Art,Art,N
1458, ,Art,Art,N
1459, ,FD,Flying Tiger Copenhagen,Y
1460, ,FD,MAX&Co. Milano Corso XXII Marzo,Y
1461, ,FD,Intimissimi,N
1462, ,FD,Yamamay,Y
1463, ,FD,Libero Milano,Y
1464, ,IT,Juice Milano 22 Marzo,Y
1465, ,IT,GameStop,Y
1466, ,FD,Tezenis,Y
1467, ,FD,Flea Market Love Milano,Y
1468, ,Fiilm,Cinema,N
1469, ,Advertising,Ad,N
1470, ,Advertising,Ad,N
1471, ,Arch,Arch,N
1472, ,Film,Photo,N
1473, ,FD,Mitsubishi,Y
1474, ,Art,Art,N
1475, ,FD,Cloth,N
1476, ,Art,Dance,N
1477, ,Advertising,Ad,N
1478, ,FD,Cloth,N
1479, ,Art,Design,N
1480, ,FD,Camiceria Olga,N
1481, ,IT,IT,N
1482, ,Publish,P,N
1483, ,IT,IT,N
1484, ,Art,Gallary,N
1485, ,IT,Wetech,N
1486, ,Art,Design,N
1487, ,Art,Model,N
1488, ,Art,Design,N
1489, ,Craft,Craft,N
1490, ,FD,HANGAR 107 - Milano,N
1491, ,IT,IT,N
1492, ,Arch,Arch,N
1493, ,Art,Gallary,N
1494, ,FD,Cloth,N
1495, ,Art,Theator,N
1496, ,FD,Cloth,N
1497, ,FD,Cotton Factory,N
1498, ,Craft,C,N
1499, ,Craft,C,N
1500, ,FD,Lamp,N
1501, ,FD,Cloth,N
1502, ,FD,Cloth,N
1503, ,Film,Photo,N
1504, ,Craft,C,N
1505, ,AD,AD,N
1506, ,Craft,C,N
1507, ,IT,Vodafone,Y
1508, ,FD,Cloth,N
1509, ,Craft,C,N
1510, ,Music,Music,N
1511, ,Music,Music,N
1512, ,Art,Art,N
1513, ,Art,Dance,N
1514, ,FD,PUMA Outlet,Y
1515, ,FD,Cloth,N
1516, ,Art,Perfome,N
1517, ,FD,CLM Arredamento,Y
1518, ,Craft,Sakurasan,N
1519, ,Craft,C,N
1520, ,Art,Theator,N
1521, ,FD,Cloth,N
1522, ,FD,Cloth,N
1523, ,FD,Corio 1957,N
1524, ,Craft,C,N
1525, ,FD,Glasses,N
1526, ,AD,AD,N
1527, ,Art,Gallary,N
1528, ,Arch,Arch,N
1529, ,Publish,P,N
1530, ,FD,Cloth,N
1531, ,FD,Cloth,N
1532, ,Music,Music,N
1533, ,Art,Gallary,N
1534, ,Publish,P,N
1535, ,Publish,P,N
1536, ,IT,IT,N
1537, ,Music,Music,N
1538, ,Art,Gallary,N
1539, ,Art,Gallary,N
1540, ,Advertising,AD,N
1541, ,Craft,Craft,N
1542, ,IT,Software,N
1543, ,Film,Photo,N
1544, ,Film,Photo,N
1545, ,Music,Music,N
1546, ,Craft,Instrunment,N
1547, ,Art,Design,N
1548, ,Craft,Craft,N
1549, ,Art,Museum,N
1550, ,Film,Photo,N
1551, ,Craft,C,N
1552, ,IT,IT,N
1553, ,Craft,C,N
1554, ,IT,IT,N
1555, ,Music,Music,N
1556, ,Arch,Arch,N
1557, ,Music,Music,N
1558, ,Film,Video,N
1559, ,Arch,Arch,N
1560, ,Advertising,AD,N
1561, ,Advertising,AD,N
1562, ,Art,Gallary,N
1563, ,FD,Cloth,N
1564, ,Art,Art,N
1565, ,IT,IT,N
1566, ,FD,Perfume,"N
"
1567, ,IT,Game,N
1568, ,Film,Photo,N
1569, ,FD,Cloth,N
1570, ,Film,Video,N
1571, ,Film,Radio,N
1572, ,FD,Cloth,N
1573, ,Art,Art,N
1574, ,Arch,Arch,N
1575, ,Art,Gallary,N
1576, ,Art,Art,N
1577, ,IT,IT,"N
"
1578, ,Art,Design,N
1579, ,FD,Cloth,N
1580, ,FD,Cloth,N
1581, ,Publish,Publish,N
1582, ,Advertising,AD,N
1583, ,Advertising,AD,N
1584, ,Advertising,AD,N
1585, ,Music,Music,N
1586, ,Art,Design,N
1587, ,FD,Cloth,N
1588, ,Advertising,AD,N
1589, ,IT,IT,N
1590, ,IT,Game,N
1591, ,FD,Cloth,N
1592, ,IT,TIM,Y
1593, ,Art,Gallary,N
1594, ,Art,Gallary,N
1595, ,FD,Cloth,N
1596, ,Advertising,AD,N
1597, ,Arch,Arch,N
1598, ,Art,Design,N
1599, ,Art,Gallary,N
1600, ,Art,Design,N
1601, ,FD,Milano Contract District,N
1602, ,Art,Design,N
1603, ,Art,Gallary,N
1604, ,FD,Cloth,N
1605, ,FD,Cloth,N
1606, ,Film,Video,N
1607, ,Craft,C,N
1608, ,FD,Cloth,N
1609, ,Art,Model,N
1610, ,Advertising,AD,N
1611, ,Art,Art,N
1612, ,Art,Model,N
1613, ,Art,Art,N
1614, ,Film,Video,N
1615, ,Art,Design,N
1616, ,Craft,C,N
1617, ,Arch,Arch,N
1618, ,FD,Kiko,Y
1619, ,FD,Cloth,N
1620, ,FD,GANT Store Milano,Y
1621, ,IT,IT,N
1622, ,Craft,Antai Riparazione,Y
1623, ,IT,IT,N
1624, ,Arch,Arch,N
1625, ,FD,Cloth,N
1626, ,Art,Model,N
1627, ,Advertising,AD,N
1628, ,IT,IT,N
1629, ,Craft,C,N
1630, ,Art,Theator,N
1631, ,IT,Software,N
1632, ,FD,Cloth,N
1633, ,Art,Gallary,N
1634, ,Art,Design,N
1635, ,IT,IT,N
1636, ,Film,Video,N
1637, ,FD,Dolce&Gabbana,Y
1638, ,FD,Cloth,N
1639, ,Advertising,AD,N
1640, ,FD,Loox Milano,Y
1641, ,Music,Bassline Music Shop,Y
1642, ,FD,Spinnaker,Y
1643, ,Art,Gallary,N
1644, ,FD,Cloth,N
1645, ,FD,Dolce & Gabbana,Y
1646, ,FD,Cloth,N
1647, ,Film,Video,N
1648, ,Art,Art,N
1649, ,FD,Cloth,N
1650, ,Art,Gallary,N
1651, ,Craft,C,N
1652, ,Craft,C,N
1653, ,FD,BIVIO,Y
1654, ,Art,Milàn & Antiques Art Gallery,N
1655, ,FD,HM,Y
1656, ,FD,Piquadro,N
1657, ,FD,Nervesa Sartoria Of Europe,Y
1658, ,FD,Cloth,N
1659, ,FD,Monry Cuir,N
1660, ,FD,Città del Sole,N
1661, ,Art,Gallary,N
1662, ,IT,TIM,Y
1663, ,Arch,Arch,N
1664, ,IT,IT,N
1665, ,IT,Software,N
1666, ,Publish,P,N
1667, ,Art,Museum,N
1668, ,Art,Gallary,N
1669, ,Art,Gallary,N
1670, ,Art,Museum,N
1671, ,FD,Cloth,N
1672, ,Art,Design,N
1673, ,Arch,Arch,N
1674, ,Publish,P,N
1675, ,Art,Design,N
1676, ,FD,Cloth,N
1677, ,Art,Dance,N
1678, ,FD,Cloth,N
1679, ,Art,Design,N
1680, ,Arch,Arch,N
1681, ,Arch,Arch,N
1682, ,Art,Gallary,N
1683, ,Art,Gallary,N
1684, ,Advertising,AD,N
1685, ,FD,Cloth,N
1686, ,IT,Software,N
1687, ,FD,Boggi Milano - Temporaneamente Chiuso,Y
1688, ,FD,Adadis,Y
1689, ,FD,GrandVision by Avanzi,Y
1690, ,Craft,SilverX,Y
1691, ,FD,Flying Tiger Copenhagen,Y
1692, ,FD,Clarks Milano,Y
1693, ,FD,Valigeria Canevari,N
1694, ,FD,Giannetti Giampaolo,N
1695, ,FD,LA KORE via pecchio 5 Milano,Y
1696, ,FD,Tiffanys,Y
1697, ,FD,Game 7 Athletics,Y
1698, ,FD,Treesse Sport,Y
1699, ,FD,Original Marines,Y
1700, ,FD,Miriade,Y
1701, ,FD,Jaked Store,Y
1702, ,FD,David Naman,Y
1703, ,FD,Swatch,Y
1704, ,FD,Conbipel Spa,Y
1705, , , , 
1706, ,FD,Deborah Milano,Y
1707, ,FD,Tanagra,Y
1708, ,FD,LUSH,Y
1709, ,FD,HM,Y
1710, ,FD,ZARA,Y
1711, ,FD,John Barritt,Y
1712, ,FD,Gaudì Store Milano,Y
1713, ,Art,Gallary,N
1714, ,Art,Design,N
1715, ,IT,IT,N
1716, ,Film,Photo,N
1717, ,FD,MILAN PRINT TEES,Y
1718, ,IT,Fuji Digital Printing,N
1719, ,Film,Photo,N
1720, ,FD,Zuiki,Y
1721, ,FD,Coccinelle,N
1722, ,FD,Walter Calzature,Y
1723, ,FD,Camicissima,Y
1724, ,FD,Nadine,Y
1725, ,FD,NYX Italia,Y
1726, ,FD,Yamamay,Y
1727, ,FD,Modern showroom,N
1728, ,Art,Gallary,N
1729, ,Craft,Spakka Supply Tattoo and Piercing Shop,Y
1730, ,FD,Cloth,N
1731, ,Film,Photo,N
1732, ,FD,Douglas,Y
1733, ,FD,MUJI,Y
1734, ,FD,ZAGO Milano,Y
1735, ,FD,Nike Store,Y
1736, ,FD,Carrera Jeans,Y
1737, ,FD,Havaianas,Y
1738, ,IT,Fastweb Store,Y
1739, ,FD,Levi's? Store Milan,Y
1740, ,Art,Design,N
1741, ,FD,La Clessidra Orologi,N
1742, ,IT,Clinic iPhone Milan Buenos Aires,Y
1743, ,IT,The X-Door Milano,N
1744, ,FD,Brums corso Buenos Aires,Y
1745, ,FD,Prénatal,N
1746, ,FD,VANS Store Milano,Y
1747, ,FD,Bottega Verde,Y
1748, ,FD,Motivi,Y
1749, ,FD,Moleskine Store,Y
1750, ,FD,Furla Store,Y
1751, ,FD,Freddy Official Store,Y
1752, ,FD,Morellato,Y
1753, ,IT,Vodafone,Y
1754, ,FD,3INA Flagship Store,Y
1755, ,FD,Antony Morato,Y
1756, ,FD,TWINSET,Y
1757, ,IT,WIND,Y
1758, ,IT,Software,N
1759, ,Art,Theator,N
1760, ,Advertising,AD,N
1761, ,Art,Music,N
1762, ,Art,Dance,N
1763, ,FD,Caddy's,N
1764, ,IT,TIM,Y
1765, ,Art,Dance,N
1766, ,Art,Dance,N
1767, ,Advertising,AD,N
1768, ,Music,Music,N
1769, ,Film,Photo,N
1770, ,IT,Software,N
1771, ,Art,Model,N
1772, ,Film,Photo,N
1773, ,Advertising,AD,N
1774, ,Arch,Arch,N
1775, ,FD,Cloth,Y
1776, ,Art,Theator,N
1777, ,Art,Gallary,N
1778, ,FD,Cloth,N
1779, ,Art,Theator,N
1780, ,Advertising,AD,N
1781, ,Arch,Arch,N
1782, ,Art,Design,N
1783, ,IT,IT,N
1784, ,Advertising,AD,N
1785, ,Art,Design,N
1786, ,Art,Design,N
1787, ,Advertising,AD,N
1788, ,FD,Buy Watches Milan - Jewelery Workshop,N
1789, ,IT,Telecom,N
1790, ,FD,Toy,N
1791, ,IT,Vodafone,N
1792, ,IT,IT,N
1793, ,Advertising,AD,N
1794, ,FD,Cloth,N
1795, ,IT,Software,N
1796, ,Art,Design,N
1797, ,Craft,Craft,N
1798, ,Art,Art,N
1799, ,IT,WIND,Y
1800, ,Craft,C,N
1801, ,Art,Gallary,N
1802, ,FD,Cloth,N
1803, ,Art,Design,N
1804, ,Arch,Arch,N
1805, ,Art,Dance,N
1806, ,Art,Design,N
1807, ,Music,M,N
1808, ,IT,TIM,Y
1809, ,Art,Dance,N
1810, ,Craft,C,N
1811, ,Art,Theator,N
1812, ,IT,IT,N
1813, ,IT,Game,N
1814, ,Arch,Arch,N
1815, ,Art,Art,N
1816, ,Arch,Arch,N
1817, ,Arch,Arch,N
1818, ,Music,Music,N
1819, ,Art,Gallary,N
1820, ,FD,Cloth,N
1821, ,IT,IT,N
1822, ,Art,Dance,N
1823, ,Film,Sky,Y
1824, ,Arch,Arch,N
1825, ,Art,Art,N
1826, ,Craft,Craft,N
1827, ,IT,IT,N
1828, ,Arch,Arch,N
1829, ,Arch,Arch,N
1830, ,Art,Art,N
1831, ,Arch,Arch,N
1832, ,IT,Game,N
1833, ,FD,Del Mare 1911,N
1834, ,Art,Gallary,N
1835, ,FD,Gucci,Y
1836, ,IT,Game,N
1837, ,Art,Art,N
1838, ,Film,Photo,N
1839, ,Art,Design,N
1840, ,Arch,Arch,N
1841, ,FD,Zap Milano Concept Store,Y
1842, ,IT,IT,N
1843, ,Craft,Craft,N
1844, ,Music,Music,N
1845, ,Arch,Arch,N
1846, ,Film,Video,N
1847, ,Film,ega,N
1848, ,Advertising,AD,N
1849, ,Art,Art,N
1850, ,Craft,Craft,N
1851, ,Film,Radio,N
1852, ,FD,Cloth,N
1853, ,Film,Film,N
1854, ,Art,Art,N
1855, ,Film,Film,N
1856, ,Music,Music,N
1857, ,Film,Radio,N
1858, ,Craft,Craft,N
1859, ,Craft,Craft,N
1860, ,Publish,Publish,N
1861, ,Music,M,N
1862, ,IT,BT Italy,Y
1863, ,FD,Cloth,N
1864, ,IT,IT,N
1865, ,Music,Music,N
1866, ,IT,IT,N
1867, ,Art,Art,N
1868, ,Arch,Arch,N
1869, ,IT,Software,N
1870, ,Craft,Craft,N
1871, ,Music,Music,N
1872, ,Art,Theator,N
1873, ,Film,Media,N
1874, ,Art,Exbihition,N
1875, ,Art,Design,N
1876, ,IT,Software,N
1877, ,IT,Software,N
1878, ,IT,Software,N
1879, ,"IT
IT",Software,N
1880, ,IT,Software,"N
N
N"
1881, ,IT,IT,N
1882, ,IT,IT,N
1883, ,Art,Art,N
1884, ,Art,Art,N
1885, ,Film,Vedio,N
1886, ,IT,IT,N
1887, ,Art,Gallary,N
1888, ,FD,Cloth,N
1889, ,Art,Theator,N
1890, ,Art,Dance,N
1891, ,Art,Culture,N
1892, ,IT,Game,N
1893, ,Art,Art,N
1894, ,Craft,Perfume,N
1895, ,Art,Dance,N
1896, ,FD,Cloth,N
1897, ,FD,Cloth,N
1898, ,FD,Cloth,N
1899, ,FD,Cloth,N
1900, ,IT,IT,N
1901, ,Art,Art,N
1902, ,FD,Cloth,N
1903, ,Art,Cloth,N
1904, ,Art,Dance,N
1905, ,FD,Design,N
1906, ,FD,Design,N
1907, ,FD,LVMH Italy,N
1908, ,FD,Perfume,N
1909, ,FD,The People'S,Y
1910, ,Craft,Nexteria,Y
1911, ,IT,IT,N
1912, ,Publish,Publish,N
1913, ,IT,Design,N
1914, ,IT,TIM,N
1915, ,Art,Dance,N
1916, ,IT,Game,N
1917, ,IT,Software,N
1918, ,Art,Model,N
1919, ,Film,Media,N
1920, ,FD,Cloth,N
1921, ,FD,Cloth,N
1922, ,Craft,HANGAR 107,N
1923, ,Advertising,AD,N
1924, ,Advertising,AD,N
1925, ,Art,Design,N
1926, ,Craft,Craft,N
1927, ,Advertising,AD,N
1928, ,Art,Model,N
1929, ,Art,Design,N
1930, ,Advertising,AD,N
1931, ,Art,Perfome,N
1932, ,FD,Cloth,N
1933, ,IT,Software,N
1934, ,Publish,Publish,N
1935, ,Arch,Arch,N
1936, ,Advertising,AD,N
1937, ,Advertising,AD,N
1938, ,IT,IT,N
1939, ,Arch,Arch,N
1940, ,Advertising,AD,N
1941, ,FD,BMW,N
1942, ,Art,Theator,N
1943, ,Advertising,AD,N
1944, ,IT,IT,N
1945, ,Advertising,AD,N
1946, ,Art,Art,N
1947, ,IT,IT,N
1948, ,Art,Theator,N
1949, ,Art,Medel,N
1950, ,Art,Theator,N
1951, ,FD,LINKE,N
1952, ,Film,Video,N
1953, ,IT,Game,N
1954, ,IT,IT,N
1955, ,Film,Video,N
1956, ,FD,Cloth,N
1957, ,Art,Art,N
1958, ,Art,Gallary,N
1959, ,Publish,Publish,N
1960, ,Arch,Arch,N
1961, ,Art,Gallary,N
1962, ,Art,Art,N
1963, ,Adversing,AD,N
1964, ,Art,Design,N
1965, ,Art,Gallary,N
1966, ,Advertising,AD,N
1967, ,Art,Theator,N
1968, ,IT,TIM,Y
1969, ,Music,Music,N
1970, ,Art,Theator,N
1971, ,Art,Theator,N
1972, ,Art,Theator,N
1973, ,Craft,Craft,N
1974, ,FD,Design,N
1975, ,Film,Video,N
1976, ,Art,Dance,N
1977, ,IT,IT,N
1978, ,Art,Dance,N
1979, ,Film,CROSS + STUDIO studio rental photo,Y
1980, ,Music,Music,N
1981, ,Art,Dance,N
1982, ,Film,Video,N
1983, ,Arch,Arch,N
1984, ,FD,Biffi Watches,Y
1985, ,IT,Game,N
1986, ,FD,Craft,N
1987, ,Film,Photo,N
1988, ,Art,Dance,N
1989, ,IT,Software,N
1990, ,IT,NTT DATA,Y
1991, ,IT,IT,N
1992, ,IT,Software,N
1993, ,Advertising,AD,N
1994, ,IT,IT,N
1995, ,FD,Cloth,N
1996, ,Advertising,AD,N
1997, ,Art,Dance,N
1998, ,Art,Art,N
1999, ,Craft,C,N
2000, ,IT,TIM,Y
2001, ,IT,IT,N
2002, ,Film,Photo,N
2003, ,Film,Photo,N
2004, ,Music,Music,N
2005, ,Art,Art,N
2006, ,Film,Photo,N
2007, ,Art,Art,N
2008, ,Music,Music,N
2009, ,Art,Dance,N
2010, ,Film,Photo,N
2011, ,Arch,Arch,N
2012, ,Music,INstrunment,N
2013, ,Art,Design,N
2014, ,Art,Gallary,N
2015, ,Arch,Arch,N
2016, ,Arch,Arch,N
2017, ,FD,Cloth,N
2018, ,Art,Design,N
2019, ,Art,Design,N
2020, ,Music,Music,N
2021, ,FD,Cloth,N
2022, ,FD,Cloth,N
2023, ,IT,IT,"N
N"
2024, ,Art,Dance,N
2025, ,IT,Software,N
2026, ,FD,Cloth,N
2027, ,Art,Art,N
2028, ,Advertising,AD,N
2029, ,Advertising,AD,N
2030, ,Art,Gallary,N
2031, ,FD,Cloth,N
2032, ,Film,Photo,N
2033, ,Art,Art,N
2034, ,IT,3 Store Viale Bligny,Y
2035, ,Publish,Publish,N
2036, ,FD,Cloth,N
2037, ,Art,Dance,N
2038, ,Arch,Arch,N
2039, ,Publish,Publish,N
2040, ,Art,Theator,N
2041, ,IT,WIND,Y
2042, ,Advertising,AD,N
2043, ,IT,IT,N
2044, ,Arch,Arch,N
2045, ,Film,Video,N
2046, ,Craft,Craft,N
2047, ,Film,Photo,N
2048, ,Music,M,N
2049, ,Publish,Publish,N
2050, ,Art,Theator,N
2051, ,Music,Ins,N
2052, ,Art,Theator,N
2053, ,Craft,Fontana Milano 1915,N
2054, ,Art,Model,N
2055, ,FD,Cloth,N
2056, ,Film,Comedy,N
2057, ,Arch,Arch,N
2058, ,Advertising,AD,N
2059, ,Arch,Arch,N
2060, ,Art,Gallary,N
2061, ,Arch,Arch,N
2062, ,IT,IT,N
2063, ,Craft,Jewel,N
2064, ,IT,Software,N
2065, ,FD,Leone 1947 OFFICIAL STORE,Y
2066, ,FD,Cloth,N
2067, ,FD,Cloth,N
2068, ,FD,Cloth,N
2069, ,Art,Dance,N
2070, ,Craft,Perfume,N
2071, ,Craft,Lillapois,Y
2072, ,Art,Gallary,N
2073, ,Craft,Watch,N
2074, ,FD,Cloth,N
2075, ,FD,Cloth,N
2076, ,Film,Photo,N
2077, ,Art,Design,N
2078, ,Art,Magic,N
2079, ,Art,Gallary,N
2080, ,Art,Gallary,N
2081, ,Advertising,AD,N
2082, ,IT,Game,N
2083, ,FD,Cloth,N
2084, ,FD,Cloth,N
2085, ,FD,Cloth,N
2086, ,Publish,P,N
2087, ,Art,Design,N
2088, ,Arch,Arch,N
2089, ,Art,Art,N
2090, ,Craft,Craft,N
2091, ,FD,PANTAMAN,Y
2092, ,Arch,Arch,N
2093, ,FD,Cloth,N
2094, ,Craft,Perfume,N
2095, ,FD,Anne Marie Milano,Y
2096, ,FD,FD,N
2097, ,Craft,Douglas,Y
2098, ,Arch,Arch,N
2099, ,FD,Cloth,N
2100, ,FD,Cloth,N
2101, ,IT,Vodafone,Y
2102, ,Art,Model,N
2103, ,IT,Game,N
2104, ,Advertising,AD,N
2105, ,Arch,A,N
2106, ,Arch,A,N
2107, ,Craft,Watch,N
2108, ,IT,TIM,Y
2109, ,Art,Theator,N
2110, ,FD,Cloth,N
2111, ,Art,Museum,N
2112, ,Arch,Arch,N
2113, ,Art,Gallary,N
2114, ,Arch,Arch,N
2115, ,IT,TIM,Y
2116, ,Craft,Bazar del Naviglio Grande,Y
2117, ,IT,Software,N
2118, ,IT,IT,N
2119, ,IT,SIA S.p.A.,Y
2120, ,IT,Vodafone,y
2121, ,IT,Vodafone,Y
2122, ,IT,Huawei,Y
2123, ,IT,Software,N
2124, ,IT,IT,N
2125, ,Advertising,AD,N
2126, , , , 
2127, ,IT,Game,N
2128, ,Music,Music,N
2129, ,Art,Museum,N
2130, ,IT,WIND,Y
2131, ,IT,Software,N
2132, ,IT,Software,N
2133, ,IT,WIND,Y
2134, ,FD,Cloth,N
2135, ,Art,Design,N
2136, ,IT,IT,N
2137, ,Music,Music,N
2138, ,Art,Dance,N
2139, ,Art,Dance,N
2140, ,Film,Video,N
2141, ,Music,Music,N
2142, ,FIlm,Photo,N
2143, ,Art,Funside Milano,Y
2144, ,Advertising,AD,N
2145, ,Art,Design,N
2146, ,Film,Photo,N
2147, ,IT,Game,N
2148, ,Arch,Arch,N
2149, ,Arch,Arch,N
2150, ,Art,Art,N
2151, ,IT,IT,N
2152, ,Art,Dance,N
2153, ,IT,IT,N
2154, ,Art,Gallary,N
2155, ,Art,Theator,N
2156, ,Art,Dance,N
2157, ,IT,Software,N
2158, ,IT,Software,N
2159, ,Art,Theator,N
2160, ,Arch,Arch,N
2161, ,Arch,Arch,N
2162, ,Music,Music,N
2163, ,Music,Music,N
2164, ,Art,Gallary,N
2165, ,Arch,Arch,N
2166, ,Art,Design,N
2167, ,Music,Music,N
2168, ,Art,Design,N
2169, ,Art,Design,N
2170, ,Art,Dance,N
2171, ,Music,Music,N
2172, ,Craft,Toy,N
2173, ,Film,Photo,N
2174, ,Art,Theator,N
2175, ,FD,Cloth,N
2176, ,IT,IT,N
2177, ,IT,COM,N
2178, ,IT,COM,N
2179, ,IT,COM,N
2180, ,IT,Software,N
2181, ,IT,Software,N
2182, ,IT,COM,N
2183, ,IT,IT,N
2184, ,IT,COM,N
2185, ,IT,COM,N
2186, ,Craft,Bricocenter,Y
2187, ,Advertising,AD,N
2188, ,IT,Software,N
2189, ,Art,Dance,N
2190, ,Art,Dance,N
2191, ,IT,IT,N
2192, ,Music,Music,N
2193, ,Music,School,N
2194, ,IT,IT,N
2195, ,Arch,Arch,N
2196, ,Art,Model,N
2197, ,Craft,Craft,N
2198, ,IT,Software,N
2199, ,Art,Dance,N
2200, ,Art,Design,N
2201, ,Art,Dance,"N
"
2202, ,Advertising,AD,N
2203, ,Advertising,AD,N
2204, ,FD,Kia,Y
2205, ,IT,Game,N
2206, ,FD,Cloth,N
2207, ,Music,Music,N
2208, ,Art,Theator,N
2209, ,Arch,Arch,N
2210, ,FD,Cloth,N
2211, ,Music,Music,N
2212, ,IT,IT,N
2213, ,Advertising,AD,N
2214, ,Advertising,AD,N
2215, ,Music,Music,N
2216, ,Art,Theator,N
2217, ,Art,Theator,N
2218, ,FD,Make up,N
2219, ,FD,Forever Living Products,Y
2220, ,FD,Cloth,N
2221, ,Film,Photo,N
2222, ,Art,Design,N
2223, ,FD,Cloth,N
2224, ,Craft,Craft,N
2225, ,IT,Game,N
2226, ,Publish,P,N
2227, ,Film,Cinema,N
2228, ,FD,Cloth,N
2229, ,Publish,P,N
2230, ,IT,IT,N
2231, ,Art,Gallary,N
2232, ,Arch,Arch,N
2233, ,IT,IT,N
2234, ,Art,Design,N
2235, ,Advertising,AD,N
2236, ,Art,Gallary,N
2237, ,Advertising,AD,N
2238, ,IT,Moblle,N
2239, ,Advertising,AD,N
2240, ,Art,Design,N
2241, ,Art,Model,N
2242, ,Art,Design,N
2243, ,Film,Photo,N
2244, ,FD,Cloth,N
2245, ,Arch,Arch,N
2246, ,FD,Cloth,N
2247, ,Advertising,AD,N
2248, ,FD,Cloth,N
2249, ,FD,Cloth,N
2250, ,Advertising,AD,N
2251, ,Film,Radio,N
2252, ,FD,Cloth,N
2253, ,IT,WIND,Y
2254, ,Craft,Craft,N
2255, ,FD,Cloth,N
2256, ,Music,Ins,N
2257, ,Craft,Craft,N
2258, ,Craft,Craft,N
2259, ,FD,Cloth,N
2260, ,Craft,Perfume,N
2261, ,Art,Theator,N
2262, ,Craft,C,N
2263, ,IT,Mobile,N
2264, ,Art,Design,N
2265, ,IT,IT,N
