FID,Location,Type,Name_of_Co,Multinatio
3406, ,Publish,P,N
3407, ,FIlm,Photo,N
3408, ,IT,IT,N
3409, ,Publish,Publish,N
3410, ,Publish,P,N
3411, ,FD,Cloth,N
3412, ,Arch,Arch,N
3413, ,FIlm,TV,N
3414, ,Art,Dance,N
3415, ,IT,Game,N
3416, ,Art,Design,N
3417, ,IT,Data,N
3418, ,IT,CPU,"N
N"
3419, ,Advertising,AD,N
3420, ,Arch,Arch,N
3421, ,Arch,Arch,N
3422, ,IT,Software,N
3423, ,IT,IT,N
3424, ,IT,IT,N
3425, ,Art,Dance,N
3426, ,Art,Model,N
3427, ,Art,Design,N
3428, ,Art,Art,N
3429, ,IT,IT,N
3430, ,Advertising,AD,N
3431, ,Art,Art,N
3432, ,Art,Design,N
3433, ,Film,Video,N
3434, ,Film,Video,N
3435, ,Publish,P,N
3436, ,Music,Music,N
3437, ,Art,Design,N
3438, ,Arch,Arch,N
3439, ,Art,Design,N
3440, ,FD,Cloth,N
3441, ,FD,Space 23,Y
3442, ,FD,120% Lino store,Y
3443, ,FD,Vintage Watches Milano,Y
3444, ,Arch,Arch,N
3445, ,IT,Software,N
3446, ,Advertising,AD,N
3447, ,Music,Music,N
3448, ,Art,Design,N
3449, ,Art,Design,N
3450, ,Advertising,AD,N
3451, ,Art,Model,N
3452, ,Art,Gallary,N
3453, ,Arch,Arch,N
3454, ,Art,Design,N
3455, ,Film,Cinema,N
3456, ,Advertising,AD,N
3457, ,IT,Software,N
3458, ,IT,Software,N
3459, ,Publish,P,N
3460, ,Arch,Arch,N
3461, ,Film,Radio,N
3462, ,Film,Radio,N
3463, ,Arch,Arch,N
3464, ,Publish,P,N
3465, ,IT,Software,N
3466, ,Publish,P,"N
N"
3467, ,Arch,Arch,N
3468, ,Arch,Arch,N
3469, ,Publish,P,N
3470, ,Arch,Arch,N
3471, ,Arch,Arch,N
3472, ,Arch,Arch,N
