unit,c_unload,c_load,geo\time	2015 	2010 	2005 
PAS,AT13,HU21,CY	: z	: 	: 
PAS,AT13,HU21,HU	380 	: 	108 
PAS,AT13,HU21,MT	: z	: 	: 
PAS,AT13,HU22,AT	103279 	: 	: c
PAS,AT13,HU22,CY	: z	: z	: 
PAS,AT13,HU22,HU	12693 	: 	65802 
PAS,AT13,HU22,MT	: z	: z	: 
PAS,AT13,HU23,CY	: z	: 	: 
PAS,AT13,HU23,HU	419 	: 	57 
PAS,AT13,HU23,MT	: z	: 	: 
PAS,AT13,HU31,AT	34407 	: 	: 
PAS,AT13,HU31,CY	: z	: 	: 
PAS,AT13,HU31,HU	21826 	: 	3 
PAS,AT13,HU31,MT	: z	: 	: 
PAS,AT13,HU32,CY	: z	: 	: 
PAS,AT13,HU32,HU	254 	: 	41 
PAS,AT13,HU32,MT	: z	: 	: 
PAS,AT13,HU33,CY	: z	: 	: 
PAS,AT13,HU33,HU	253 	: 	73 
PAS,AT13,HU33,MT	: z	: 	: 
PAS,AT13,HUZZ,AT	: 	: 	: c
