unit,geo\time	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 
GDP_BEUR,AT311	6.975 p	8.558 	9.922 	10.58 	6.182 	7.953 	10.012 	8.148 	8.382 	7.693 	4.745 	8.277 	5.839 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT312	6.777 p	7.528 	7.824 	7.552 	6.153 	5.766 	5.823 	6.181 	5.943 	5.73 	6.975 	7.364 	6.201 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT313	6.564 p	7.704 	8.851 	5.842 	7.765 	8.523 	8.939 	7.45 	7.308 	7.189 	6.144 	4.865 	5.912 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT314	6.091 p	6.813 	6.772 	6.518 	6.304 	8.393 	5.959 	6.606 	7.851 	6.619 	8.197 	6.436 	8.643 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT315	6.157 p	8.305 	10.147 	10.541 	9.049 	10.068 	11.875 	9.509 	11.238 	8.287 	9.73 	5.635 	11.198 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT32	3.201 p	4.505 	4.271 	4.929 	4.719 	5.876 	5.383 	4.761 	4.699 	5.006 	4.161 	4.522 	5.118 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT321	: 	8.12 	1.217 	0.598 	0.619 	: 	3.975 	2.179 	4.651 	0.75 	9.408 	6.836 	7.962 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT322	2.331 p	1.901 	4.053 	3.175 	4.358 	4.354 	5.068 	2.668 	3.427 	1.845 	2.734 	1.666 	1.527 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT323	3.624 p	5.307 	4.461 	5.733 	4.995 	6.623 	5.544 	5.596 	5.142 	6.308 	4.474 	5.47 	6.326 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT33	4.699 p	5.404 	5.765 	5.645 	6.113 	5.833 	5.215 	5.265 	5.179 	5.221 	5.208 	5.878 	4.712 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT331	7.732 p	10.475 	8.67 	9.242 	1.605 	7.208 	5.004 	13.547 	10.878 	11.348 	16.507 	11.826 	11.597 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT332	5.053 p	5.863 	6.389 	4.608 	7.471 	5.787 	5.055 	5.024 	3.902 	4.528 	4.36 	6.499 	3.853 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT333	8.394 p	4.437 	2.987 	10.152 	10.968 	8.226 	2.984 	9.17 	7.549 	4.246 	2.119 	3.195 	5.832 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT334	1.708 p	2.521 	1.762 	2.185 	1.516 	1.144 	1.843 	1.548 	1.298 	1.672 	1.589 	1.723 	1.471 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT335	4.511 p	5.424 	6.636 	7.167 	6.223 	7.163 	7.076 	5.283 	7.281 	6.828 	6.564 	6.226 	6.015 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT34	15.046 p	18.634 	19.702 	13.362 	15.241 	15.245 	14.313 	16.259 	14.502 	11.975 	10.978 	13.31 	15.498 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT341	9.336 p	8.003 	10.099 	7.839 	9.512 	8.343 	7.974 	10.851 	9.677 	5.101 	7.751 	12.997 	14.066 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT342	17.07 p	22.432 	23.259 	15.447 	17.294 	17.655 	16.573 	18.144 	16.173 	14.224 	12.021 	13.414 	15.941 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,ATZ	12.021 p	: 	26.915 	15.426 	60.235 	76 	67.901 	11.6 	23.108 	63.973 	59.625 	: 	78.382 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,ATZZ	12.021 p	: 	26.915 	15.426 	60.235 	76 	67.901 	11.6 	23.108 	63.973 	59.625 	: 	78.382 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,ATZZZ	12.021 p	: 	26.915 	15.426 	60.235 	76 	67.901 	11.6 	23.108 	63.973 	59.625 	: 	78.382 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,BE	3.301 p	3.97 	4.128 	4.035 	4.216 	4.543 	4.714 	4.872 	5.09 	4.828 	4.857 	4.565 	5.079 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,BE1	1.53 p	1.808 	1.842 	2.204 	2.029 	2.021 	1.97 	1.605 	2.391 	1.806 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,BE10	1.53 p	1.808 	1.842 	2.204 	2.029 	2.021 	1.97 	1.605 	2.391 	1.806 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,BE100	1.53 p	1.808 	1.842 	2.204 	2.029 	2.021 	1.97 	1.605 	2.391 	1.806 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,BE2	3.902 p	4.508 	4.718 	4.726 	4.695 	5.283 	5.279 	5.644 	5.711 	5.484 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,BE21	3.579 p	3.322 	3.395 	4.19 	3.871 	4.712 	5.551 	5.64 	5.894 	5.135 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,BE211	4.142 p	3.263 	3.052 	4.06 	3.586 	4.288 	5.055 	6.091 	5.67 	4.874 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,BE212	2.557 p	3.295 	3.17 	4.666 	4.356 	5.321 	5.442 	3.62 	5.068 	4.01 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,BE213	2.85 p	3.491 	4.445 	4.17 	4.296 	5.407 	7.035 	5.928 	7.137 	6.654 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,BE22	2.464 p	4.234 	4.666 	4.103 	3.935 	5.265 	4.438 	4.325 	3.278 	5.376 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,BE221	2.26 p	4.313 	4.057 	3.101 	3.239 	4.489 	3.048 	3.578 	2.142 	3.942 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,BE222	3.357 p	5.072 	7.349 	6.415 	5.503 	7.74 	6.439 	6.822 	5.319 	8.861 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,BE223	1.944 p	2.788 	3.028 	4.241 	4.088 	4.42 	6.413 	3.327 	4.311 	5.485 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,BE23	4.054 p	4.937 	5.279 	4.478 	5.228 	5.579 	5.198 	5.979 	6.224 	5.557 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,BE231	2.995 p	3.428 	4.181 	2.931 	3.966 	3.799 	3.462 	4.423 	3.723 	4.19 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,BE232	3.657 p	5.478 	7.158 	3.479 	7.781 	5.367 	5.775 	6.823 	4.406 	5.626 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,BE233	3.584 p	3.55 	3.476 	1.507 	7.257 	4.531 	2.795 	3.676 	8.745 	4.548 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,BE234	5.063 p	6.423 	5.836 	6.133 	5.32 	6.451 	6.545 	7.055 	6.687 	6.301 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,BE235	2.415 p	4.155 	5.744 	3.236 	5.418 	6.128 	3.316 	3.975 	7.987 	3.965 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,BE236	3.261 p	2.366 	3.704 	3.212 	3.79 	4.749 	4.032 	5.257 	6.594 	5.683 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,BE24	6.197 p	7.329 	7.124 	6.808 	6.607 	7.996 	6.766 	7.56 	7.155 	7.731 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,BE241	2.854 p	3.422 	3.86 	3.264 	3.701 	4.943 	3.859 	4.674 	4.434 	5.397 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,BE242	11.459 p	13.535 	12.245 	12.381 	11.649 	13.38 	11.666 	12.362 	11.759 	11.539 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,BE25	2.808 p	3.482 	4.062 	4.2 	4.157 	3.282 	3.883 	4.143 	4.853 	3.882 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
