unit,geo\time	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 
NR,ES4	49.73 p	40.42 	50.12 	58.16 	55.07 	58.02 	61.52 	82.68 	63.87 	43.64 	39.16 	45.71 	31.33 	25.67 	21.84 	32.23 	17.49 	12.42 	15.72 	13 	9.91 	7.87 	4.14 	7.75 	3.77 	3 	3.6 	3 	2 	1.83 	2 	: 	1 	: 	: 	: 
NR,ES41	31.16 p	24.13 	26.06 	36.14 	34.94 	38.89 	38.3 	50.68 	45.34 	31.06 	28.04 	32.11 	21.63 	19.24 	13.05 	18.08 	14.52 	6.67 	11.37 	8.92 	8.21 	5.17 	3.14 	6.75 	3.77 	: 	3.6 	2 	1 	1.83 	: 	: 	1 	: 	: 	: 
NR,ES411	: 	: 	1 	: 	1 	1 	: 	1 	: 	: 	: 	: 	1 	1 	: 	0.25 	: 	1 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 
NR,ES412	10.75 p	4 	2.35 	3.48 	8.07 	5.17 	10.67 	25.85 	23.96 	15.83 	9.5 	13.33 	8.5 	5.67 	5.19 	8.59 	5 	3 	4.2 	5.25 	3 	3.33 	0.22 	: 	3.59 	: 	3.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,ES413	1.75 p	1.2 	2 	2.6 	1 	3.53 	5.45 	1.6 	2.61 	3.06 	2.17 	5.17 	4.07 	5.55 	1.73 	2.83 	4.52 	1.67 	1.17 	0.25 	0.5 	0.75 	2.42 	5.75 	0.18 	: 	0.4 	1 	: 	0.5 	: 	: 	: 	: 	: 	: 
NR,ES414	1 p	: 	: 	1.33 	2.2 	2.49 	2 	: 	2 	1 	0.17 	0.25 	0.31 	: 	0.17 	0.41 	: 	: 	: 	0.11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,ES415	2.37 p	2.33 	6.92 	8.05 	4.75 	4.32 	5.85 	8.33 	9.83 	1 	3.88 	8.68 	3 	1.29 	2.32 	2.5 	2 	: 	4 	1 	4.07 	1.08 	0.17 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 
NR,ES416	2 p	2.14 	1 	2.2 	: 	1 	1 	0.45 	: 	: 	4 	0.54 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	0.33 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,ES417	0.45 p	: 	1 	0.67 	: 	1 	2 	: 	1 	2 	: 	: 	1 	: 	: 	: 	: 	: 	: 	0.36 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 
NR,ES418	12.71 p	14.29 	8.28 	15.81 	10.92 	18.38 	5.33 	10.87 	4.94 	7.92 	7.33 	4.14 	2.75 	4.73 	2.54 	3.5 	3 	1 	2 	0.78 	0.25 	: 	: 	: 	: 	: 	: 	1 	: 	0.33 	: 	: 	: 	: 	: 	: 
NR,ES419	0.13 p	0.17 	3.5 	2 	7 	2 	6 	2.58 	1 	0.25 	1 	: 	1 	1 	0.11 	: 	: 	: 	: 	0.17 	0.39 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,ES42	17.07 p	13.62 	19.75 	21.02 	18.13 	17.63 	20.22 	26.5 	15.69 	12.58 	9.12 	12.02 	6.9 	5.43 	7.29 	9.15 	2.64 	3.75 	3.02 	4.08 	1.5 	1.7 	: 	1 	: 	2 	: 	1 	1 	: 	2 	: 	: 	: 	: 	: 
NR,ES421	4.5 p	5 	2 	4.4 	3.5 	4.33 	5.44 	8.75 	3.5 	1 	: 	2.83 	: 	0.08 	1.29 	: 	: 	1 	: 	: 	: 	: 	: 	1 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,ES422	4.08 p	: 	1.71 	2.6 	1.5 	1 	3.8 	4.5 	1.89 	0.5 	0.5 	0.13 	0.4 	2 	: 	: 	0.5 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	1 	: 	: 	: 	: 	: 
NR,ES423	0.29 p	: 	0.25 	0.25 	1.2 	: 	1 	2.25 	2 	3 	1 	0.45 	1 	1 	2 	: 	0.14 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,ES424	2 p	3.68 	1.4 	1.14 	1.48 	2.58 	0.37 	0.7 	0.25 	3.33 	: 	5.46 	2.5 	: 	: 	2.83 	: 	0.5 	1.53 	0.25 	0.5 	0.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,ES425	6.2 p	4.94 	14.39 	12.63 	10.45 	9.72 	9.61 	10.3 	8.05 	4.75 	7.62 	3.15 	3 	2.35 	4 	6.32 	2 	2.25 	1.48 	2.83 	1 	1.5 	: 	: 	: 	1 	: 	1 	: 	: 	1 	: 	: 	: 	: 	: 
NR,ES43	1.5 p	2.67 	4.31 	1 	2 	1.5 	3 	5.5 	2.83 	: 	2 	1.58 	2.8 	1 	1.5 	5 	0.33 	2 	1.33 	: 	0.2 	1 	1 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,ES431	0.5 p	2 	3.75 	1 	2 	0.5 	1 	4 	2.33 	: 	2 	1.33 	1.8 	: 	0.5 	4 	: 	: 	1.33 	: 	0.2 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,ES432	1 p	0.67 	0.56 	: 	: 	1 	2 	1.5 	0.5 	: 	: 	0.25 	1 	1 	1 	1 	0.33 	2 	: 	: 	: 	: 	1 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,ES5	545.94 p	615.17 	606.39 	618.24 	620.78 	638.24 	624.55 	625.76 	611.47 	489.06 	477.46 	451.44 	423.13 	363.62 	290.17 	286.37 	205.41 	192.88 	214.22 	181.09 	112.39 	162.72 	127.83 	133.85 	111.26 	96.83 	75.2 	60 	37.2 	53.67 	37.67 	25.75 	20.33 	9.25 	9.33 	: 
NR,ES51	428.67 p	489.19 	479.1 	483.77 	497.01 	520.3 	524.93 	504.68 	488.66 	396.86 	379.68 	351.15 	329.56 	278.57 	218.2 	236 	165.49 	157.22 	159.66 	141.11 	92.14 	136.72 	114.5 	117.52 	98.43 	84.33 	61.7 	53 	34.2 	47.17 	33.67 	24.75 	19.33 	8.25 	9.33 	: 
NR,ES511	391.09 p	441.45 	406.87 	435.91 	443.39 	464.93 	458.3 	436.87 	436.63 	347.1 	332.03 	295.95 	273.11 	229.41 	184.81 	194.07 	145.64 	136.28 	139.37 	131.39 	82.81 	124.32 	106.52 	113.27 	94.35 	76.75 	57.67 	48 	34.2 	46.17 	32.67 	24.75 	17.33 	8.25 	9.33 	: 
NR,ES512	16.22 p	22.38 	35.97 	28.43 	27.28 	20.61 	32.04 	35.5 	27.18 	18.87 	27.5 	16.14 	14.17 	16.65 	6.57 	6.33 	6.61 	12.35 	12.83 	5 	4.83 	5.2 	3 	2.25 	2.33 	5.33 	1 	4 	: 	1 	1 	: 	1 	: 	: 	: 
NR,ES513	8.28 p	6.92 	13.55 	5.59 	5.93 	10.74 	7.5 	9.24 	8.1 	14.03 	3.08 	6.35 	11.2 	3.67 	6 	1 	4 	2 	1 	2 	1.5 	3 	1.33 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,ES514	13.08 p	18.44 	22.7 	13.84 	20.42 	24.01 	27.08 	23.07 	16.75 	16.86 	17.07 	32.71 	31.08 	28.85 	20.81 	34.6 	9.23 	6.59 	6.45 	2.73 	3 	4.2 	3.65 	2 	1.75 	2.25 	3.03 	1 	: 	: 	: 	: 	1 	: 	: 	: 
NR,ES52	107.2 p	117.65 	114.7 	124.67 	112.13 	109.61 	89.87 	115.01 	114.98 	86.21 	94.94 	93.55 	82.97 	78.28 	63.77 	47.86 	35.42 	32.67 	52.37 	36.98 	19.25 	25 	13.33 	14.33 	12.83 	8.5 	11 	7 	3 	4.5 	2.5 	1 	1 	: 	: 	: 
NR,ES521	21.9 p	29.73 	33.32 	22.7 	28.95 	20.13 	27.78 	37.96 	30.67 	14.13 	26.87 	20.85 	31.08 	26.33 	23.75 	15.84 	14 	20.33 	19 	16.17 	9 	15 	6 	2 	3.5 	2.5 	4 	4 	1 	1.5 	1 	: 	: 	: 	: 	: 
NR,ES522	14.83 p	15.35 	18.55 	14.98 	7.49 	13.77 	15.65 	14.13 	11.65 	9.98 	9.08 	7.08 	10.38 	5.25 	10.33 	4.38 	1.17 	0.33 	4.25 	3 	3 	1 	: 	3 	: 	1 	1 	: 	1 	: 	: 	1 	: 	: 	: 	: 
NR,ES523	70.47 p	72.57 	62.83 	86.99 	75.69 	75.71 	46.44 	62.92 	72.67 	62.09 	58.99 	65.61 	41.51 	46.7 	29.68 	27.65 	20.25 	12 	29.12 	17.81 	7.25 	9 	7.33 	9.33 	9.33 	5 	6 	3 	1 	3 	1.5 	: 	1 	: 	: 	: 
NR,ES53	10.08 p	8.33 	12.6 	9.8 	11.63 	8.33 	9.75 	6.07 	7.83 	6 	2.83 	6.74 	10.6 	6.76 	8.2 	2.5 	4.5 	3 	2.2 	3 	1 	1 	: 	2 	: 	4 	2.5 	: 	: 	2 	1.5 	: 	: 	1 	: 	: 
NR,ES531	: 	1 	: 	: 	1 	1 	: 	: 	: 	: 	0.33 	: 	: 	1 	1 	: 	0.5 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 
NR,ES532	8.94 p	7.33 	11.6 	8.8 	10.63 	7.33 	9.67 	5.07 	7.83 	6 	1 	6.74 	7.6 	5.76 	7.2 	2.5 	4 	2 	1 	2 	1 	1 	: 	2 	: 	4 	2.5 	: 	: 	1 	1.5 	: 	: 	1 	: 	: 
NR,ES533	1.14 p	: 	1 	1 	: 	: 	0.08 	1 	: 	: 	1.5 	: 	3 	: 	: 	: 	: 	1 	1.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,ES6	113.37 p	85.28 	113.72 	122.35 	78.66 	73.34 	87.84 	75.6 	52.39 	60.62 	65.08 	47.06 	47.93 	36.83 	26.32 	39.03 	21.73 	15.42 	15.63 	16.95 	16.92 	12.42 	15.5 	5.67 	8.76 	10.17 	7.7 	4 	5.33 	3.6 	6.5 	7.33 	6 	6.33 	1 	: 
NR,ES61	83.97 p	65.2 	85.37 	103.75 	64.13 	49.36 	71.05 	63.24 	42.14 	51.62 	53.83 	39.71 	37.35 	31.45 	19.32 	34.03 	21.33 	11.75 	12.63 	14.82 	13.92 	9.08 	15.5 	5.67 	8.76 	9.67 	5.7 	4 	4.83 	3.6 	6.5 	6.33 	2 	5.33 	1 	: 
NR,ES611	3.98 p	1.68 	5 	8.5 	2.4 	2 	4.25 	11.58 	2.4 	5.53 	5 	3.5 	2 	6 	5 	2 	2 	2 	1 	1 	3 	0.5 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,ES612	6.89 p	1.58 	1.25 	18 	4.2 	3.4 	11.79 	4.33 	1 	8.33 	5 	3.58 	3 	2.2 	1 	1.42 	1 	2.67 	3 	5.57 	0.5 	: 	2 	: 	: 	1 	: 	1 	: 	1 	1 	: 	: 	: 	: 	: 
NR,ES613	4.5 p	3 	9.75 	4.53 	4.58 	4.83 	3 	1.5 	4.1 	3.5 	1 	0.83 	1.29 	3.25 	1.75 	2.1 	0.5 	: 	1.5 	: 	1.42 	: 	: 	: 	: 	: 	: 	: 	0.33 	: 	: 	: 	: 	: 	: 	: 
NR,ES614	15.13 p	11.42 	10.73 	8.9 	12.72 	7.14 	15.15 	8.21 	8.12 	4.53 	10.55 	5 	1.08 	2 	: 	1.4 	3 	: 	: 	3 	2 	1 	3.5 	1 	: 	4 	2 	1 	1.5 	: 	: 	: 	1 	: 	: 	: 
NR,ES615	1.29 p	: 	2.53 	3.5 	1.25 	0.4 	2.67 	2 	: 	: 	2 	1.14 	1 	: 	0.5 	1.83 	: 	: 	1 	1 	1 	1.25 	: 	: 	: 	0.33 	: 	: 	1 	: 	: 	: 	1 	: 	: 	: 
NR,ES616	7.58 p	6.44 	3.24 	4.8 	0.75 	0.6 	4.67 	4.08 	3.92 	5.2 	1.33 	3.5 	1 	0.83 	0.37 	1.33 	0.33 	: 	1 	2 	2 	1 	: 	1 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,ES617	10.37 p	10.29 	15.3 	8.83 	15.89 	9.18 	8.62 	5.7 	12.03 	12 	18.42 	12.39 	13.87 	9 	5 	12 	8.08 	5.33 	2.17 	0.92 	2.5 	2 	4 	1.5 	2.5 	1 	2.5 	2 	2 	2 	5.5 	4.33 	: 	5.33 	1 	: 
NR,ES618	34.23 p	30.79 	37.57 	46.69 	22.34 	21.8 	20.91 	25.85 	10.57 	12.52 	10.52 	9.76 	14.12 	8.17 	5.7 	11.95 	6.42 	1.75 	2.96 	1.33 	1.5 	3.33 	4 	2.17 	6.26 	2.33 	1.2 	: 	: 	0.6 	: 	2 	: 	: 	: 	: 
NR,ES62	29.39 p	20.08 	28.35 	18.6 	14.53 	23.98 	16.78 	12.36 	10.25 	9 	11.25 	7.36 	10.58 	5.38 	7 	5 	0.39 	3.67 	3 	2.13 	3 	3.33 	: 	: 	: 	0.5 	2 	: 	0.5 	: 	: 	1 	4 	1 	: 	: 
NR,ES620	29.39 p	20.08 	28.35 	18.6 	14.53 	23.98 	16.78 	12.36 	10.25 	9 	11.25 	7.36 	10.58 	5.38 	7 	5 	0.39 	3.67 	3 	2.13 	3 	3.33 	: 	: 	: 	0.5 	2 	: 	0.5 	: 	: 	1 	4 	1 	: 	: 
NR,ES7	10.53 p	10.67 	6.67 	7.15 	14.33 	7.35 	7.67 	11.57 	8 	11 	7.5 	5 	11.5 	5 	5 	2.75 	4 	4.2 	2.5 	5 	1 	0.7 	2.33 	2.5 	1 	: 	: 	1.5 	1 	2.5 	: 	1 	2 	1 	: 	: 
NR,ES70	10.53 p	10.67 	6.67 	7.15 	14.33 	7.35 	7.67 	11.57 	8 	11 	7.5 	5 	11.5 	5 	5 	2.75 	4 	4.2 	2.5 	5 	1 	0.7 	2.33 	2.5 	1 	: 	: 	1.5 	1 	2.5 	: 	1 	2 	1 	: 	: 
NR,ES704	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,ES705	5.42 p	4.33 	2 	0.33 	3.33 	3.25 	1.67 	5 	1 	3 	3 	2 	5 	3 	1 	1.5 	2 	1.2 	1 	2 	1 	0.2 	1 	1 	: 	: 	: 	1 	1 	1 	: 	1 	2 	0.33 	: 	: 
NR,ES707	: 	: 	: 	: 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,ES708	: 	: 	: 	0.2 	1 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1 	: 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,ES709	5.12 p	6.33 	4.67 	5.62 	8 	3.1 	6 	6.57 	7 	8 	4.5 	2 	6.5 	2 	3 	1.13 	2 	2 	1.5 	3 	: 	0.5 	0.33 	1.5 	1 	: 	: 	0.5 	: 	1.5 	: 	: 	: 	0.67 	: 	: 
NR,ESX	8.53 p	10.77 	9.64 	10.98 	12.44 	6.63 	8.24 	8.69 	13.14 	7.08 	5.88 	4.49 	2.01 	5 	2.64 	4 	1.83 	4.04 	2.67 	2.74 	6.5 	4.83 	1.17 	6.87 	3 	5.67 	12 	3.5 	2 	3.4 	: 	3 	2 	2 	2 	: 
NR,ESXX	8.53 p	10.77 	9.64 	10.98 	12.44 	6.63 	8.24 	8.69 	13.14 	7.08 	5.88 	4.49 	2.01 	5 	2.64 	4 	1.83 	4.04 	2.67 	2.74 	6.5 	4.83 	1.17 	6.87 	3 	5.67 	12 	3.5 	2 	3.4 	: 	3 	2 	2 	2 	: 
NR,ESXXX	8.53 p	10.77 	9.64 	10.98 	12.44 	6.63 	8.24 	8.69 	13.14 	7.08 	5.88 	4.49 	2.01 	5 	2.64 	4 	1.83 	4.04 	2.67 	2.74 	6.5 	4.83 	1.17 	6.87 	3 	5.67 	12 	3.5 	2 	3.4 	: 	3 	2 	2 	2 	: 
NR,ESZ	0.42 p	: 	1.83 	1 	3.03 	: 	0.11 	1.67 	0.33 	3.08 	1.25 	: 	3.67 	3.15 	: 	: 	1.11 	: 	: 	0.5 	: 	1.97 	: 	0.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,ESZZ	0.42 p	: 	1.83 	1 	3.03 	: 	0.11 	1.67 	0.33 	3.08 	1.25 	: 	3.67 	3.15 	: 	: 	1.11 	: 	: 	0.5 	: 	1.97 	: 	0.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,ESZZZ	0.42 p	: 	1.83 	1 	3.03 	: 	0.11 	1.67 	0.33 	3.08 	1.25 	: 	3.67 	3.15 	: 	: 	1.11 	: 	: 	0.5 	: 	1.97 	: 	0.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,FI	1330.56 p	1339.38 	1384.94 	1309.88 	1262.34 	1272.37 	1349.78 	1339.7 	1407.66 	1294.32 	1291.17 	1408.85 	1433.21 	1430.2 	1180.94 	1021.17 	859.84 	718.65 	684.54 	591.87 	519.6 	417.55 	424.35 	387.31 	322.54 	282.72 	213 	177.63 	162.98 	127.08 	89.88 	93.7 	86.25 	38 	15 	3.5 
NR,FI1	1317.88 p	1320.55 	1375.38 	1298.49 	1257.33 	1268.53 	1345.54 	1337.45 	1401.96 	1290.32 	1288.15 	1402.93 	1427.46 	1423.54 	1176.58 	1018.22 	853.36 	716.49 	683.04 	591.24 	518.6 	417.05 	422.6 	387.15 	322.04 	280.22 	213 	175.3 	161.48 	126.58 	88.88 	91.7 	86.25 	38 	15 	3.5 
NR,FI19	310.15 p	329.1 	338.95 	291.57 	298.95 	284.97 	336.83 	349.89 	404.23 	340.98 	340.71 	363.76 	369.83 	362.27 	299.99 	215.64 	181.49 	173.08 	134.75 	119.98 	111.6 	97.08 	105.64 	87.19 	81.33 	64.22 	51.55 	40.2 	40.5 	25.17 	22.05 	19.43 	23.25 	14 	5.5 	: 
NR,FI193	27.64 p	35.87 	29.94 	39.07 	32.18 	31.81 	40.24 	24.79 	36.99 	32.17 	32.65 	44.25 	42.8 	54.96 	52.26 	48.76 	38.55 	45.62 	20.73 	46.67 	34.15 	28.72 	32.18 	27.75 	19.4 	20.83 	13 	9 	8.33 	9 	7 	6.17 	7.5 	3 	: 	: 
NR,FI194	7.42 p	10.02 	10.99 	5.5 	3.68 	3.5 	8.52 	4.33 	8.71 	6.28 	8.83 	5.17 	4.5 	11.73 	15.25 	4.5 	3 	4.5 	4.83 	2.5 	3 	: 	3.5 	7.92 	3.33 	1 	1 	1 	4 	4 	: 	: 	1 	2.5 	: 	: 
NR,FI195	57.98 p	57.42 	49.28 	33.92 	43.3 	37.38 	19.77 	29.9 	38.75 	28.68 	24.06 	17.79 	26.25 	24.5 	21.12 	13.73 	9.25 	13.5 	16.25 	7.42 	6.3 	9.5 	4.73 	3.9 	7.67 	4 	3 	6 	9.33 	1.5 	4 	: 	2 	1.5 	: 	: 
NR,FI196	16.83 p	18.25 	16.68 	23.29 	20.41 	19.47 	16.52 	17.01 	18.9 	22.84 	30.99 	23.36 	36.08 	25.53 	16.92 	9.58 	24.53 	20.58 	18.6 	11.33 	15.17 	11.5 	13.23 	13.28 	9.83 	16 	1.2 	7.83 	3.17 	3 	3.05 	5.26 	3.58 	3 	0.5 	: 
NR,FI197	200.28 p	207.55 	232.05 	189.79 	199.38 	192.82 	251.79 	273.86 	299.89 	251.02 	244.18 	273.19 	260.2 	245.55 	194.45 	139.07 	106.16 	88.88 	74.33 	52.07 	52.98 	47.37 	52 	34.34 	41.09 	22.38 	33.35 	16.37 	15.67 	7.67 	8 	8 	9.17 	4 	5 	: 
NR,FI1B	635.97 p	634.01 	688.16 	636.39 	629.33 	631.33 	672 	637.67 	659.11 	575.83 	602.25 	659.42 	653.4 	691.87 	525.71 	492.42 	402.51 	321.65 	317.5 	264.74 	227.08 	150.46 	162.48 	150.82 	117.77 	117.32 	87.7 	77.15 	72.45 	62.1 	43.5 	44.15 	43.25 	15 	4.5 	2.5 
NR,FI1B1	635.97 p	634.01 	688.16 	636.39 	629.33 	631.33 	672 	637.67 	659.11 	575.83 	602.25 	659.42 	653.4 	691.87 	525.71 	492.42 	402.51 	321.65 	317.5 	264.74 	227.08 	150.46 	162.48 	150.82 	117.77 	117.32 	87.7 	77.15 	72.45 	62.1 	43.5 	44.15 	43.25 	15 	4.5 	2.5 
NR,FI1C	194.9 p	170.42 	156.28 	181.94 	166.8 	174.66 	161.75 	184.5 	193.37 	222.25 	183.38 	226.52 	208.33 	171.03 	189.83 	128.97 	147.04 	115.44 	126.84 	113.04 	112.11 	100.03 	90.58 	104.89 	88.63 	72.47 	47.75 	44.78 	33.23 	25.32 	16.07 	13.33 	10.17 	4.33 	4 	: 
NR,FI1C1	102.71 p	91.81 	67.99 	95.31 	93.91 	116.24 	95.53 	120.02 	129.27 	174.23 	125.57 	156.95 	148.64 	111.74 	130.85 	88.5 	90.94 	63.15 	81.85 	67.59 	70.13 	70.03 	47.97 	61.44 	44.45 	28.18 	18.17 	12.95 	11.23 	12.25 	5.57 	9.83 	8.17 	3.83 	2 	: 
NR,FI1C2	23 p	24.2 	22.76 	28.08 	18.83 	16.23 	19.46 	21.75 	12.11 	13.26 	15.04 	10.92 	11.59 	16.9 	4.99 	7.49 	8.18 	10.32 	11.6 	12.27 	6.33 	6.17 	4.7 	6.25 	4.14 	8.2 	5.83 	2.5 	14 	0.33 	2 	1 	1 	0.5 	: 	: 
NR,FI1C3	20.13 p	16.25 	25.98 	27.78 	25.92 	17.76 	18.17 	18.03 	22.5 	13.58 	26.64 	24.08 	20.89 	16.5 	21.3 	13.25 	17.4 	18.86 	9.58 	15.46 	19 	8.75 	11.58 	9.12 	5.14 	9 	2.5 	6.83 	1.83 	4.73 	6 	1 	: 	: 	1 	: 
NR,FI1C4	12.83 p	9.93 	13.91 	9.31 	10.78 	8.3 	17.56 	13.7 	13.33 	8.17 	5.67 	24.13 	16.43 	17.89 	19.92 	13.57 	17.28 	16.65 	19.13 	13.38 	13.37 	12.75 	22.66 	21 	28.57 	24.75 	18.42 	17.5 	5.17 	6.5 	2 	: 	1 	: 	: 	: 
NR,FI1C5	36.23 p	28.23 	25.64 	21.45 	17.36 	16.13 	11.03 	11 	16.17 	13 	10.46 	10.43 	10.78 	8 	12.77 	6.17 	13.24 	6.47 	4.68 	4.33 	3.29 	2.33 	3.67 	7.08 	6.33 	2.33 	2.83 	5 	1 	1.5 	0.5 	1.5 	: 	: 	1 	: 
NR,FI1D	176.86 p	187.02 	191.99 	188.6 	162.25 	177.57 	174.95 	165.4 	145.24 	151.26 	161.81 	153.23 	195.9 	198.37 	161.04 	181.2 	122.32 	106.32 	103.95 	93.48 	67.82 	69.48 	63.9 	44.25 	34.32 	26.22 	26 	13.17 	15.29 	14 	7.26 	14.79 	9.58 	4.67 	1 	1 
NR,FI1D1	12.12 p	11.08 	11.73 	8.5 	8.67 	7.67 	6.39 	2.29 	6.92 	4.42 	5 	4.63 	8.5 	12.19 	12.87 	9.62 	4 	6.9 	10.7 	12.67 	6 	7.5 	9.82 	10.83 	6.18 	6.17 	4.33 	5 	2 	1.5 	: 	1 	: 	: 	: 	: 
NR,FI1D2	17.86 p	20.37 	20 	22.92 	17.14 	19.63 	31.04 	25.82 	25.15 	12.57 	24.92 	16.62 	13.58 	13.04 	21.95 	11.14 	13 	8.23 	14.25 	6.33 	7.47 	7.5 	9.15 	5.49 	3.29 	7.5 	8 	4.67 	5.17 	2 	3.5 	1 	0.33 	: 	: 	: 
NR,FI1D3	4.42 p	10.31 	11.35 	14.33 	9.77 	10.75 	13.95 	8.83 	6.5 	14.39 	9.69 	9.83 	9.27 	10.36 	13.33 	8.5 	7.37 	7 	1 	5.33 	2.7 	1 	4.8 	3.08 	3.75 	: 	4.5 	0.5 	2.25 	: 	: 	1.33 	0.5 	: 	: 	: 
NR,FI1D4	4 p	1.6 	0.83 	3.5 	5.2 	2.4 	6.37 	3.75 	1.2 	1 	3.5 	: 	5.67 	3.17 	1.33 	3.07 	1 	2.5 	2.25 	: 	0.33 	1.33 	: 	: 	: 	1.5 	: 	: 	: 	: 	: 	1 	: 	: 	: 	1 
NR,FI1D5	1.1 p	0.83 	2.83 	2.5 	2.9 	0.83 	: 	3.89 	: 	6.17 	2.03 	4.92 	4.23 	8.67 	1.5 	1 	1.5 	0.25 	0.25 	1 	: 	1 	0.83 	1 	2.33 	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 	: 
NR,FI1D6	130.95 p	136.57 	138.41 	131.35 	115.98 	132.96 	112.62 	115.65 	101.73 	107.76 	109.83 	113.27 	146.32 	142.56 	108.06 	142.73 	92.95 	80.43 	73.01 	67.15 	50.32 	47.65 	38.3 	18.85 	18.77 	7.72 	8.17 	2 	2.88 	10.5 	3.76 	9.5 	8.5 	3.67 	1 	: 
NR,FI1D7	6.42 p	6.25 	6.83 	5.5 	2.59 	3.33 	4.58 	5.17 	3.75 	4.95 	6.83 	3.95 	8.33 	8.4 	2 	5.14 	2.5 	1 	2.5 	1 	1 	3.5 	1 	5 	: 	3.33 	1 	1 	2 	: 	: 	0.96 	0.25 	1 	: 	: 
NR,FI2	3.42 p	5.67 	1.33 	0.83 	0.5 	1.33 	2 	0.17 	3 	3 	: 	1.83 	4 	2 	0.92 	2 	3 	: 	0.5 	: 	: 	: 	: 	: 	0.5 	0.5 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 
NR,FI20	3.42 p	5.67 	1.33 	0.83 	0.5 	1.33 	2 	0.17 	3 	3 	: 	1.83 	4 	2 	0.92 	2 	3 	: 	0.5 	: 	: 	: 	: 	: 	0.5 	0.5 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 
NR,FI200	3.42 p	5.67 	1.33 	0.83 	0.5 	1.33 	2 	0.17 	3 	3 	: 	1.83 	4 	2 	0.92 	2 	3 	: 	0.5 	: 	: 	: 	: 	: 	0.5 	0.5 	: 	1 	: 	: 	: 	: 	: 	: 	: 	: 
NR,FIX	8.01 p	11.29 	7.45 	8.33 	1 	2.33 	0.5 	0.5 	0.2 	: 	1.2 	1.17 	1 	3.17 	0.75 	: 	: 	: 	0.5 	: 	0.75 	: 	0.75 	: 	: 	2 	: 	1 	1.5 	0.5 	1 	2 	: 	: 	: 	: 
NR,FIXX	8.01 p	11.29 	7.45 	8.33 	1 	2.33 	0.5 	0.5 	0.2 	: 	1.2 	1.17 	1 	3.17 	0.75 	: 	: 	: 	0.5 	: 	0.75 	: 	0.75 	: 	: 	2 	: 	1 	1.5 	0.5 	1 	2 	: 	: 	: 	: 
