unit,nstr24,geo\time	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 
THS_T,01,DE132	35 	4 	14 	: 	26 	16 	7 	58 	10 
THS_T,01,DE133	: 	: 	9 	24 	3 	1 	4 	12 	4 
THS_T,01,DE134	113 	53 	55 	73 	60 	58 	42 	42 	22 
THS_T,01,DE135	15 	4 	31 	14 	10 	17 	13 	12 	33 
THS_T,01,DE136	14 	7 	2 	7 	7 	37 	10 	: 	1 
THS_T,01,DE137	15 	: 	12 	7 	6 	14 	4 	3 	: 
THS_T,01,DE138	8 	25 	14 	21 	11 	48 	3 	33 	: 
THS_T,01,DE139	2 	: 	5 	13 	4 	17 	: z	94 	3 
THS_T,01,DE13A	31 	: 	18 	: 	9 	13 	3 	88 	27 
THS_T,01,DE141	39 	12 	56 	: 	: z	2 	63 	79 	8 
THS_T,01,DE142	: 	5 	: 	: 	7 	3 	14 	19 	: 
THS_T,01,DE143	14 	33 	121 	25 	23 	144 	3 	42 	15 
THS_T,01,DE144	75 	1 	11 	5 	2 	3 	25 	32 	21 
THS_T,01,DE145	48 	44 	109 	32 	151 	81 	172 	125 	119 
THS_T,01,DE146	24 	17 	16 	21 	46 	40 	32 	99 	17 
THS_T,01,DE147	: 	30 	5 	: 	1 	78 	13 	4 	2 
THS_T,01,DE148	23 	25 	10 	17 	29 	4 	23 	15 	39 
THS_T,01,DE149	38 	24 	25 	6 	19 	76 	10 	85 	43 
THS_T,01,DE211	: 	11 	: 	: 	12 	4 	: 	67 	: 
THS_T,01,DE212	: 	: 	3 	19 	: z	39 	1 	243 	1 
THS_T,01,DE214	9 	: 	63 	6 	13 	12 	27 	29 	: 
THS_T,01,DE215	: 	9 	: 	4 	13 	: 	: 	: 	: 
THS_T,01,DE216	: 	: 	: 	: 	1 	: 	: 	: 	5 
THS_T,01,DE217	56 	25 	32 	4 	40 	35 	5 	12 	16 
THS_T,01,DE218	4 	2 	26 	36 	1 	: 	35 	6 	9 
THS_T,01,DE219	60 	82 	23 	99 	37 	35 	44 	95 	108 
THS_T,01,DE21A	131 	25 	39 	31 	119 	11 	21 	4 	59 
THS_T,01,DE21B	10 	139 	11 	78 	58 	76 	20 	75 	116 
THS_T,01,DE21C	49 	16 	1 	25 	5 	: 	27 	41 	17 
THS_T,01,DE21D	: 	: 	: 	1 	: 	: 	: 	52 	1 
THS_T,01,DE21E	: 	10 	13 	14 	57 	16 	259 	17 	26 
THS_T,01,DE21F	: 	: 	: 	: 	2 	: 	: 	3 	: 
THS_T,01,DE21G	80 	14 	53 	14 	16 	26 	56 	39 	6 
THS_T,01,DE21H	45 	24 	19 	6 	7 	18 	50 	45 	176 
THS_T,01,DE21I	23 	46 	33 	25 	17 	30 	24 	209 	57 
THS_T,01,DE21J	27 	41 	39 	26 	3 	27 	72 	13 	13 
THS_T,01,DE21K	35 	15 	9 	12 	8 	9 	38 	86 	7 
THS_T,01,DE21L	8 	12 	16 	62 	2 	: 	10 	5 	3 
THS_T,01,DE21M	3 	31 	9 	10 	6 	11 	25 	17 	12 
THS_T,01,DE21N	: 	: 	: 	: 	: 	2 	2 	2 	: 
THS_T,01,DE221	3 	11 	: 	9 	: 	13 	5 	: 	: 
THS_T,01,DE222	: 	: 	7 	9 	326 	: 	: 	40 	: z
THS_T,01,DE223	: 	62 	9 	31 	35 	3 	43 	11 	5 
THS_T,01,DE224	72 	147 	99 	46 	49 	94 	389 	64 	135 
THS_T,01,DE226	78 	55 	58 	159 	92 	121 	28 	15 	34 
THS_T,01,DE227	35 	106 	158 	50 	167 	110 	325 	83 	137 
THS_T,01,DE228	8 	50 	75 	18 	98 	40 	101 	161 	105 
THS_T,01,DE229	: 	: 	: 	1 	: 	: 	: 	: 	2 
THS_T,01,DE22A	18 	52 	27 	21 	63 	30 	60 	41 	38 
THS_T,01,DE22B	25 	39 	153 	36 	75 	27 	108 	38 	51 
THS_T,01,DE22C	38 	4 	24 	48 	58 	93 	38 	96 	109 
THS_T,01,DE231	9 	: 	: 	: 	: 	: 	: 	: 	: 
THS_T,01,DE232	14 	37 	15 	14 	34 	22 	46 	12 	26 
THS_T,01,DE233	: 	1 	15 	5 	: 	: 	2 	6 	: 
THS_T,01,DE234	148 	109 	42 	11 	10 	41 	50 	81 	10 
THS_T,01,DE235	23 	4 	37 	8 	19 	3 	2 	: 	9 
THS_T,01,DE236	37 	33 	46 	57 	28 	48 	39 	64 	39 
THS_T,01,DE237	31 	23 	14 	26 	6 	32 	7 	3 	7 
THS_T,01,DE238	34 	46 	35 	61 	210 	73 	176 	98 	33 
THS_T,01,DE239	10 	5 	28 	19 	12 	22 	8 	10 	33 
THS_T,01,DE23A	14 	6 	23 	15 	15 	9 	41 	9 	2 
THS_T,01,DE241	: 	19 	30 	30 	75 	28 	33 	44 	15 
THS_T,01,DE242	1 	21 	14 	: 	: 	17 	: 	: 	17 
THS_T,01,DE243	: 	: 	: 	7 	: 	: 	: 	9 	5 
THS_T,01,DE244	: 	15 	49 	: 	: 	: 	16 	: 	3 
THS_T,01,DE245	35 	116 	27 	24 	23 	4 	66 	122 	46 
THS_T,01,DE246	9 	30 	30 	32 	15 	13 	75 	37 	49 
THS_T,01,DE247	21 	: 	65 	23 	3 	20 	40 	56 	: 
THS_T,01,DE248	13 	89 	7 	: 	8 	6 	14 	21 	: 
THS_T,01,DE249	32 	: 	20 	12 	19 	27 	15 	14 	40 
THS_T,01,DE24A	: 	11 	16 	: 	: 	: 	7 	49 	: 
THS_T,01,DE24B	: 	32 	: 	5 	18 	3 	: 	76 	79 
THS_T,01,DE24C	22 	6 	: 	21 	5 	: 	16 	18 	: 
THS_T,01,DE24D	15 	31 	24 	: 	15 	: 	14 	52 	22 
THS_T,01,DE251	: 	: 	19 	: 	21 	: 	: 	28 	2 
THS_T,01,DE252	15 	4 	: 	: 	: 	: 	1 	2 	: 
THS_T,01,DE253	9 	: 	: 	26 	: 	11 	17 	30 	: 
THS_T,01,DE254	: 	17 	: 	: 	18 	2 	23 	15 	5 
THS_T,01,DE255	7 	: 	: 	: 	: 	: 	: 	: 	: 
THS_T,01,DE256	19 	9 	44 	15 	14 	63 	19 	10 	51 
THS_T,01,DE257	: 	4 	: 	13 	: 	: 	: 	22 	54 
THS_T,01,DE258	1 	: 	5 	: 	2 	: 	3 	3 	: 
THS_T,01,DE259	16 	20 	: 	1 	6 	9 	3 	3 	9 
THS_T,01,DE25A	93 	18 	61 	50 	65 	: 	5 	22 	53 
THS_T,01,DE25B	46 	17 	8 	72 	23 	26 	81 	17 	34 
THS_T,01,DE25C	: 	: 	53 	19 	10 	11 	38 	: 	: 
THS_T,01,DE261	: 	: z	1 	: 	: 	: 	: 	3 	: 
THS_T,01,DE262	18 	: 	5 	21 	7 	7 	: 	10 	: 
THS_T,01,DE263	47 	28 	53 	4 	55 	46 	3 	55 	48 
THS_T,01,DE264	8 	37 	8 	6 	4 	: 	14 	: 	4 
THS_T,01,DE265	24 	75 	1 	15 	: 	33 	11 	6 	37 
THS_T,01,DE266	41 	109 	15 	395 	28 	21 	54 	47 	72 
THS_T,01,DE267	30 	38 	10 	4 	: 	: 	42 	: 	: 
THS_T,01,DE268	43 	64 	70 	90 	56 	82 	33 	85 	70 
THS_T,01,DE269	3 	: 	4 	: 	3 	10 	5 	33 	3 
THS_T,01,DE26A	34 	101 	45 	37 	79 	40 	85 	92 	41 
THS_T,01,DE26B	239 	34 	81 	34 	12 	47 	106 	34 	50 
THS_T,01,DE26C	64 	52 	137 	57 	193 	212 	99 	54 	122 
THS_T,01,DE271	44 	: 	: 	2 	7 	36 	: 	3 	7 
THS_T,01,DE273	: 	: 	4 	: 	: 	: 	: 	: z	6 
THS_T,01,DE274	31 	4 	: 	: 	5 	4 	1 	12 	6 
THS_T,01,DE275	108 	28 	40 	38 	4 	8 	64 	42 	36 
THS_T,01,DE276	: 	4 	: 	4 	5 	9 	21 	19 	26 
THS_T,01,DE277	42 	29 	54 	103 	55 	38 	22 	31 	94 
THS_T,01,DE278	94 	20 	11 	33 	1 	33 	3 	116 	11 
THS_T,01,DE279	47 	8 	13 	72 	16 	84 	37 	17 	24 
THS_T,01,DE27A	: 	2 	: 	: 	: 	: 	: 	: 	: 
THS_T,01,DE27B	45 	3 	1 	17 	: 	5 	11 	17 	12 
THS_T,01,DE27C	1 	6 	8 	4 	9 	4 	7 	1 	4 
THS_T,01,DE27D	78 	19 	79 	70 	22 	87 	168 	46 	34 
THS_T,01,DE27E	: 	: 	: 	: 	: 	1 	: 	: 	: 
THS_T,01,DE3	: 	: 	: 	: 	22 	12 	: 	: 	: 
THS_T,01,DE300	5 	7 	: 	15 	22 	12 	17 	15 	9 
THS_T,01,DE301	: 	: 	: 	: 	: 	: 	2 	2 	: 
THS_T,01,DE302	: 	: 	: 	: 	: 	: 	15 	12 	9 
THS_T,01,DE401	: 	: 	: 	: 	6 	: z	: 	57 	: 
THS_T,01,DE402	: 	: 	: 	: 	: 	: z	: 	14 	: 
THS_T,01,DE404	: 	: 	: 	: 	: 	: z	: 	: 	2 
THS_T,01,DE405	: 	: 	: 	: 	100 	624 	474 	266 	196 
THS_T,01,DE406	: 	: 	: 	: 	45 	141 	163 	17 	224 
THS_T,01,DE407	: 	: 	: 	: 	42 	205 	61 	85 	66 
THS_T,01,DE408	: 	: 	: 	: 	131 	286 	134 	425 	37 
THS_T,01,DE409	: 	: 	: 	: 	201 	214 	169 	268 	173 
THS_T,01,DE40A	: 	: 	: 	: 	141 	69 	52 	85 	9 
THS_T,01,DE40B	: 	: 	: 	: 	27 	44 	3 	4 	5 
THS_T,01,DE40C	: 	: 	: 	: 	92 	98 	110 	29 	181 
THS_T,01,DE40D	: 	: 	: 	: 	191 	547 	227 	447 	98 
THS_T,01,DE40E	: 	: 	: 	: 	255 	107 	219 	49 	52 
THS_T,01,DE40F	: 	: 	: 	: 	56 	287 	159 	205 	255 
THS_T,01,DE40G	: 	: 	: 	: 	50 	81 	71 	64 	13 
THS_T,01,DE40H	: 	: 	: 	: 	5 	35 	273 	189 	228 
THS_T,01,DE40I	: 	: 	: 	: 	820 	813 	210 	505 	393 
THS_T,01,DE411	7 	6 	: 	: 	: 	: 	: 	: 	: 
THS_T,01,DE412	139 	262 	528 	211 	100 	624 	474 	266 	196 
THS_T,01,DE413	160 	249 	238 	215 	201 	214 	169 	268 	173 
THS_T,01,DE414	118 	131 	58 	90 	141 	69 	52 	85 	9 
THS_T,01,DE415	21 	130 	94 	61 	92 	98 	110 	29 	181 
THS_T,01,DE416	225 	312 	120 	213 	191 	547 	227 	447 	98 
THS_T,01,DE417	106 	159 	148 	194 	56 	287 	159 	205 	255 
THS_T,01,DE418	606 	623 	570 	434 	820 	813 	210 	505 	393 
THS_T,01,DE421	148 	65 	96 	235 	6 	: z	: 	57 	: 
THS_T,01,DE422	: 	12 	: 	: 	: 	: z	: 	14 	: 
THS_T,01,DE423	: 	: 	: 	: 	: 	: z	: 	: 	2 
THS_T,01,DE424	54 	72 	173 	54 	45 	141 	163 	17 	224 
THS_T,01,DE425	120 	88 	175 	82 	42 	205 	61 	85 	66 
THS_T,01,DE426	280 	375 	285 	265 	131 	286 	134 	425 	37 
THS_T,01,DE427	16 	8 	11 	7 	27 	44 	3 	4 	5 
THS_T,01,DE428	160 	247 	252 	201 	255 	107 	219 	49 	52 
THS_T,01,DE429	96 	36 	52 	386 	50 	81 	71 	64 	13 
THS_T,01,DE42A	101 	132 	47 	18 	5 	35 	273 	189 	228 
THS_T,01,DE501	260 	43 	95 	80 	87 	78 	83 	79 	71 
THS_T,01,DE502	2 	18 	: 	13 	2 	: 	1 	: 	26 
THS_T,01,DE6	: 	: 	: 	: 	122 	113 	91 	87 	368 
THS_T,01,DE600	382 	110 	206 	151 	122 	113 	91 	87 	368 
THS_T,01,DE711	: 	: 	: 	: 	: 	: 	4 	: 	: 
THS_T,01,DE712	: 	6 	5 	4 	: 	11 	1 	54 	13 
THS_T,01,DE714	6 	6 	: 	7 	5 	: 	12 	: 	: 
THS_T,01,DE715	: 	: 	2 	11 	: z	19 	68 	8 	: 
THS_T,01,DE716	: 	14 	1 	24 	24 	27 	4 	15 	9 
