unit,iccs,geo\time	2010 	2009 	2008 
NR,ICCS0101,DEG0H	1 	0 	: 
NR,ICCS0101,DEG0I	0 	0 	: 
NR,ICCS0101,DEG0J	2 	0 	: 
NR,ICCS0101,DEG0K	2 	2 	: 
NR,ICCS0101,DEG0L	0 	2 	: 
NR,ICCS0101,DEG0M	4 	1 	: 
NR,ICCS0101,DEG0N	0 	0 	: 
NR,ICCS0101,DEG0P	0 	0 	: 
NR,ICCS0101,DK	62 	79 	79 
NR,ICCS0101,DK0	62 	79 	79 
NR,ICCS0101,DK01	21 	23 	22 
NR,ICCS0101,DK011	9 	14 	10 
NR,ICCS0101,DK012	7 	7 	9 
NR,ICCS0101,DK013	4 	2 	3 
NR,ICCS0101,DK014	1 	0 	0 
NR,ICCS0101,DK02	18 	13 	16 
NR,ICCS0101,DK021	10 	2 	5 
NR,ICCS0101,DK022	8 	11 	11 
NR,ICCS0101,DK03	9 	22 	16 
NR,ICCS0101,DK031	5 	13 	7 
NR,ICCS0101,DK032	4 	9 	9 
NR,ICCS0101,DK04	11 	13 	18 
NR,ICCS0101,DK041	4 	4 	6 
NR,ICCS0101,DK042	7 	9 	12 
NR,ICCS0101,DK05	3 	6 	7 
NR,ICCS0101,DK050	3 	6 	7 
NR,ICCS0101,EE	70 	70 	84 
NR,ICCS0101,EL	176 	144 	139 
NR,ICCS0101,ES	401 	412 	414 
NR,ICCS0101,ES1	38 	32 	35 
NR,ICCS0101,ES11	17 	18 	24 
NR,ICCS0101,ES111	8 	11 	10 
NR,ICCS0101,ES112	1 	1 	2 
NR,ICCS0101,ES113	2 	4 	2 
NR,ICCS0101,ES114	6 	2 	10 
NR,ICCS0101,ES12	19 	7 	9 
NR,ICCS0101,ES120	19 	7 	9 
NR,ICCS0101,ES13	2 	7 	2 
NR,ICCS0101,ES130	2 	7 	2 
NR,ICCS0101,ES2	25 	27 	24 
NR,ICCS0101,ES21	10 	15 	9 
NR,ICCS0101,ES211	1 	2 	1 
NR,ICCS0101,ES212	4 	7 	2 
NR,ICCS0101,ES213	5 	6 	6 
NR,ICCS0101,ES22	3 	5 	5 
NR,ICCS0101,ES220	3 	5 	5 
NR,ICCS0101,ES23	2 	2 	3 
NR,ICCS0101,ES230	2 	2 	3 
NR,ICCS0101,ES24	10 	5 	7 
NR,ICCS0101,ES241	1 	2 	2 
NR,ICCS0101,ES242	0 	0 	1 
NR,ICCS0101,ES243	9 	3 	4 
NR,ICCS0101,ES3	51 	51 	64 
NR,ICCS0101,ES30	51 	51 	64 
NR,ICCS0101,ES300	51 	51 	64 
NR,ICCS0101,ES4	25 	39 	43 
NR,ICCS0101,ES41	10 	20 	18 
NR,ICCS0101,ES411	0 	1 	0 
NR,ICCS0101,ES412	4 	6 	2 
NR,ICCS0101,ES413	0 	1 	5 
NR,ICCS0101,ES414	1 	1 	0 
NR,ICCS0101,ES415	1 	3 	3 
NR,ICCS0101,ES416	0 	0 	1 
NR,ICCS0101,ES417	1 	0 	0 
NR,ICCS0101,ES418	3 	6 	5 
NR,ICCS0101,ES419	0 	2 	2 
NR,ICCS0101,ES42	12 	16 	16 
NR,ICCS0101,ES421	2 	1 	3 
NR,ICCS0101,ES422	3 	2 	0 
NR,ICCS0101,ES423	2 	0 	4 
NR,ICCS0101,ES424	1 	5 	4 
NR,ICCS0101,ES425	4 	8 	5 
NR,ICCS0101,ES43	3 	3 	9 
NR,ICCS0101,ES431	2 	1 	3 
NR,ICCS0101,ES432	1 	2 	6 
NR,ICCS0101,ES5	149 	145 	123 
NR,ICCS0101,ES51	97 	85 	67 
NR,ICCS0101,ES511	56 	60 	44 
NR,ICCS0101,ES512	27 	9 	10 
NR,ICCS0101,ES513	2 	3 	3 
NR,ICCS0101,ES514	12 	13 	10 
NR,ICCS0101,ES52	46 	53 	53 
NR,ICCS0101,ES521	17 	20 	22 
NR,ICCS0101,ES522	6 	7 	1 
NR,ICCS0101,ES523	23 	26 	30 
NR,ICCS0101,ES53	6 	7 	3 
NR,ICCS0101,ES531	0 	3 	1 
NR,ICCS0101,ES532	5 	3 	2 
NR,ICCS0101,ES533	1 	1 	0 
NR,ICCS0101,ES6	94 	103 	98 
NR,ICCS0101,ES61	78 	89 	70 
NR,ICCS0101,ES611	19 	15 	14 
NR,ICCS0101,ES612	13 	10 	8 
NR,ICCS0101,ES613	3 	7 	4 
NR,ICCS0101,ES614	6 	12 	9 
NR,ICCS0101,ES615	2 	9 	6 
NR,ICCS0101,ES616	3 	4 	4 
NR,ICCS0101,ES617	15 	19 	14 
NR,ICCS0101,ES618	17 	13 	11 
NR,ICCS0101,ES62	15 	12 	25 
NR,ICCS0101,ES620	15 	12 	25 
NR,ICCS0101,ES63	1 	1 	1 
NR,ICCS0101,ES630	1 	1 	1 
NR,ICCS0101,ES64	0 	1 	2 
NR,ICCS0101,ES640	0 	1 	2 
NR,ICCS0101,ES7	17 	15 	27 
NR,ICCS0101,ES70	17 	15 	27 
NR,ICCS0101,ES703	0 	0 	1 
NR,ICCS0101,ES704	1 	0 	1 
NR,ICCS0101,ES705	3 	7 	13 
NR,ICCS0101,ES706	0 	0 	2 
NR,ICCS0101,ES707	1 	0 	1 
NR,ICCS0101,ES708	0 	2 	0 
NR,ICCS0101,ES709	12 	6 	9 
NR,ICCS0101,ESXXX	0 	0 	0 
NR,ICCS0101,ESZZZ	2 	0 	0 
NR,ICCS0101,FI	112 	116 	132 
NR,ICCS0101,FI1	112 	114 	132 
NR,ICCS0101,FI19	26 	30 	38 
NR,ICCS0101,FI193	4 	9 	5 
NR,ICCS0101,FI194	6 	6 	14 
NR,ICCS0101,FI195	1 	1 	3 
NR,ICCS0101,FI196	1 	5 	5 
NR,ICCS0101,FI197	14 	9 	11 
NR,ICCS0101,FI1B	26 	23 	25 
NR,ICCS0101,FI1B1	26 	23 	25 
NR,ICCS0101,FI1C	13 	30 	37 
NR,ICCS0101,FI1C1	4 	5 	9 
NR,ICCS0101,FI1C2	3 	10 	11 
NR,ICCS0101,FI1C3	1 	7 	6 
NR,ICCS0101,FI1C4	4 	5 	9 
NR,ICCS0101,FI1C5	1 	3 	2 
NR,ICCS0101,FI1D	47 	31 	32 
NR,ICCS0101,FI1D1	4 	4 	8 
NR,ICCS0101,FI1D2	6 	4 	1 
NR,ICCS0101,FI1D3	5 	1 	6 
NR,ICCS0101,FI1D4	2 	8 	2 
NR,ICCS0101,FI1D5	1 	0 	0 
NR,ICCS0101,FI1D6	17 	9 	6 
NR,ICCS0101,FI1D7	12 	5 	9 
NR,ICCS0101,FI2	0 	0 	0 
NR,ICCS0101,FI20	0 	0 	0 
NR,ICCS0101,FI200	0 	0 	0 
NR,ICCS0101,FR	675 	682 	839 
NR,ICCS0101,FR1	139 	130 	133 
NR,ICCS0101,FR10	139 	130 	133 
NR,ICCS0101,FR101	42 	25 	35 
NR,ICCS0101,FR102	6 	12 	17 
NR,ICCS0101,FR103	10 	3 	9 
NR,ICCS0101,FR104	7 	14 	12 
NR,ICCS0101,FR105	19 	12 	13 
NR,ICCS0101,FR106	18 	35 	26 
NR,ICCS0101,FR107	22 	21 	12 
NR,ICCS0101,FR108	15 	8 	9 
NR,ICCS0101,FR2	109 	106 	130 
NR,ICCS0101,FR21	13 	14 	11 
NR,ICCS0101,FR211	2 	4 	3 
NR,ICCS0101,FR212	2 	2 	3 
NR,ICCS0101,FR213	6 	7 	5 
NR,ICCS0101,FR214	3 	1 	0 
NR,ICCS0101,FR22	18 	28 	28 
NR,ICCS0101,FR221	8 	8 	9 
NR,ICCS0101,FR222	5 	7 	9 
NR,ICCS0101,FR223	5 	13 	10 
NR,ICCS0101,FR23	29 	18 	17 
NR,ICCS0101,FR231	9 	9 	4 
NR,ICCS0101,FR232	20 	9 	13 
NR,ICCS0101,FR24	25 	25 	36 
NR,ICCS0101,FR241	3 	4 	6 
NR,ICCS0101,FR242	5 	6 	4 
NR,ICCS0101,FR243	1 	4 	0 
NR,ICCS0101,FR244	3 	3 	4 
NR,ICCS0101,FR245	6 	1 	9 
NR,ICCS0101,FR246	7 	7 	13 
NR,ICCS0101,FR25	10 	13 	20 
NR,ICCS0101,FR251	3 	6 	9 
NR,ICCS0101,FR252	1 	7 	8 
NR,ICCS0101,FR253	6 	0 	3 
NR,ICCS0101,FR26	14 	8 	18 
NR,ICCS0101,FR261	1 	3 	6 
NR,ICCS0101,FR262	1 	3 	1 
NR,ICCS0101,FR263	9 	2 	7 
NR,ICCS0101,FR264	3 	0 	4 
NR,ICCS0101,FR3	31 	45 	39 
NR,ICCS0101,FR30	31 	45 	39 
NR,ICCS0101,FR301	21 	27 	23 
NR,ICCS0101,FR302	10 	18 	16 
NR,ICCS0101,FR4	48 	52 	76 
NR,ICCS0101,FR41	17 	27 	28 
NR,ICCS0101,FR411	4 	8 	5 
NR,ICCS0101,FR412	0 	2 	2 
NR,ICCS0101,FR413	12 	13 	15 
NR,ICCS0101,FR414	1 	4 	6 
NR,ICCS0101,FR42	20 	20 	31 
NR,ICCS0101,FR421	14 	8 	17 
NR,ICCS0101,FR422	6 	12 	14 
NR,ICCS0101,FR43	11 	5 	17 
NR,ICCS0101,FR431	3 	2 	8 
NR,ICCS0101,FR432	5 	2 	3 
NR,ICCS0101,FR433	0 	1 	3 
NR,ICCS0101,FR434	3 	0 	3 
NR,ICCS0101,FR5	65 	71 	88 
NR,ICCS0101,FR51	26 	30 	27 
NR,ICCS0101,FR511	6 	7 	10 
NR,ICCS0101,FR512	4 	5 	3 
NR,ICCS0101,FR513	4 	1 	3 
NR,ICCS0101,FR514	2 	11 	3 
NR,ICCS0101,FR515	10 	6 	8 
NR,ICCS0101,FR52	31 	22 	30 
NR,ICCS0101,FR521	5 	2 	10 
NR,ICCS0101,FR522	13 	9 	7 
NR,ICCS0101,FR523	9 	7 	5 
NR,ICCS0101,FR524	4 	4 	8 
NR,ICCS0101,FR53	8 	19 	31 
NR,ICCS0101,FR531	2 	10 	10 
NR,ICCS0101,FR532	2 	5 	11 
NR,ICCS0101,FR533	2 	1 	8 
NR,ICCS0101,FR534	2 	3 	2 
NR,ICCS0101,FR6	66 	78 	82 
NR,ICCS0101,FR61	36 	35 	38 
NR,ICCS0101,FR611	1 	4 	0 
NR,ICCS0101,FR612	18 	18 	24 
NR,ICCS0101,FR613	5 	4 	5 
NR,ICCS0101,FR614	9 	2 	6 
NR,ICCS0101,FR615	3 	7 	3 
NR,ICCS0101,FR62	24 	35 	37 
NR,ICCS0101,FR621	2 	4 	5 
NR,ICCS0101,FR622	3 	0 	2 
NR,ICCS0101,FR623	13 	13 	16 
NR,ICCS0101,FR624	0 	2 	1 
NR,ICCS0101,FR625	2 	1 	7 
NR,ICCS0101,FR626	1 	8 	1 
NR,ICCS0101,FR627	2 	6 	2 
NR,ICCS0101,FR628	1 	1 	3 
NR,ICCS0101,FR63	6 	8 	7 
NR,ICCS0101,FR631	3 	2 	4 
NR,ICCS0101,FR632	0 	3 	0 
NR,ICCS0101,FR633	3 	3 	3 
NR,ICCS0101,FR7	66 	60 	108 
NR,ICCS0101,FR71	52 	54 	96 
NR,ICCS0101,FR711	7 	6 	6 
NR,ICCS0101,FR712	5 	3 	6 
NR,ICCS0101,FR713	4 	2 	8 
NR,ICCS0101,FR714	20 	7 	22 
NR,ICCS0101,FR715	3 	8 	6 
NR,ICCS0101,FR716	8 	19 	30 
NR,ICCS0101,FR717	1 	4 	7 
NR,ICCS0101,FR718	4 	5 	11 
NR,ICCS0101,FR72	14 	6 	12 
NR,ICCS0101,FR721	3 	1 	4 
NR,ICCS0101,FR722	3 	0 	0 
NR,ICCS0101,FR723	0 	2 	0 
NR,ICCS0101,FR724	8 	3 	8 
NR,ICCS0101,FR8	151 	140 	183 
NR,ICCS0101,FR81	37 	27 	49 
NR,ICCS0101,FR811	5 	3 	9 
NR,ICCS0101,FR812	3 	5 	6 
NR,ICCS0101,FR813	19 	13 	25 
NR,ICCS0101,FR814	0 	0 	1 
NR,ICCS0101,FR815	10 	6 	8 
NR,ICCS0101,FR82	95 	84 	109 
NR,ICCS0101,FR821	3 	4 	3 
NR,ICCS0101,FR822	3 	1 	0 
NR,ICCS0101,FR823	31 	18 	26 
NR,ICCS0101,FR824	46 	44 	49 
NR,ICCS0101,FR825	9 	10 	25 
NR,ICCS0101,FR826	3 	7 	6 
NR,ICCS0101,FR83	19 	29 	25 
NR,ICCS0101,FR831	13 	19 	14 
NR,ICCS0101,FR832	6 	10 	11 
NR,ICCS0101,HR	73 	56 	74 
NR,ICCS0101,HR031	3 	4 	5 
NR,ICCS0101,HR032	1 	1 	0 
NR,ICCS0101,HR033	5 	0 	1 
NR,ICCS0101,HR034	0 	0 	1 
NR,ICCS0101,HR035	5 	5 	11 
NR,ICCS0101,HR036	6 	10 	2 
NR,ICCS0101,HR037	1 	1 	2 
NR,ICCS0101,HR041	12 	6 	15 
NR,ICCS0101,HR042	3 	2 	1 
NR,ICCS0101,HR043	0 	0 	7 
NR,ICCS0101,HR044	2 	2 	3 
NR,ICCS0101,HR045	1 	5 	2 
NR,ICCS0101,HR046	3 	0 	3 
NR,ICCS0101,HR047	2 	2 	3 
NR,ICCS0101,HR048	3 	0 	1 
NR,ICCS0101,HR049	3 	2 	2 
NR,ICCS0101,HR04A	6 	5 	3 
NR,ICCS0101,HR04B	6 	4 	5 
NR,ICCS0101,HR04C	5 	1 	2 
NR,ICCS0101,HR04D	2 	3 	2 
NR,ICCS0101,HR04E	4 	3 	3 
NR,ICCS0101,HU	132 	139 	147 
NR,ICCS0101,HU1	55 	48 	39 
NR,ICCS0101,HU10	55 	48 	39 
NR,ICCS0101,HU101	32 	36 	26 
NR,ICCS0101,HU102	23 	12 	13 
NR,ICCS0101,HU2	32 	38 	41 
NR,ICCS0101,HU21	11 	13 	15 
NR,ICCS0101,HU211	3 	4 	6 
NR,ICCS0101,HU212	7 	5 	7 
NR,ICCS0101,HU213	1 	4 	2 
NR,ICCS0101,HU22	8 	11 	9 
NR,ICCS0101,HU221	2 	5 	4 
NR,ICCS0101,HU222	3 	3 	1 
NR,ICCS0101,HU223	3 	3 	4 
NR,ICCS0101,HU23	13 	14 	17 
NR,ICCS0101,HU231	6 	6 	4 
NR,ICCS0101,HU232	5 	7 	10 
NR,ICCS0101,HU233	2 	1 	3 
NR,ICCS0101,HU3	45 	53 	67 
NR,ICCS0101,HU31	12 	16 	24 
NR,ICCS0101,HU311	8 	11 	18 
NR,ICCS0101,HU312	1 	3 	2 
NR,ICCS0101,HU313	3 	2 	4 
NR,ICCS0101,HU32	16 	24 	24 
NR,ICCS0101,HU321	5 	11 	10 
NR,ICCS0101,HU322	4 	4 	6 
NR,ICCS0101,HU323	7 	9 	8 
NR,ICCS0101,HU33	17 	13 	19 
NR,ICCS0101,HU331	11 	5 	7 
NR,ICCS0101,HU332	3 	2 	7 
NR,ICCS0101,HU333	3 	6 	5 
NR,ICCS0101,IE	58 	60 	55 
NR,ICCS0101,IS	2 	1 	0 
NR,ICCS0101,IS0	2 	1 	0 
NR,ICCS0101,IS00	2 	1 	0 
NR,ICCS0101,IS001	1 	0 	0 
NR,ICCS0101,IS002	1 	1 	0 
NR,ICCS0101,IT	567 	626 	654 
NR,ICCS0101,ITC	129 	135 	136 
NR,ICCS0101,ITC1	42 	27 	29 
NR,ICCS0101,ITC2	0 	2 	0 
NR,ICCS0101,ITC3	21 	18 	23 
NR,ICCS0101,ITC4	66 	88 	84 
NR,ICCS0101,ITD	58 	77 	77 
NR,ICCS0101,ITD1	3 	1 	1 
NR,ICCS0101,ITD2	2 	5 	1 
NR,ICCS0101,ITD3	19 	26 	33 
NR,ICCS0101,ITD4	6 	6 	5 
NR,ICCS0101,ITD5	28 	39 	37 
NR,ICCS0101,ITE	87 	92 	104 
NR,ICCS0101,ITE1	37 	25 	39 
NR,ICCS0101,ITE2	4 	9 	7 
NR,ICCS0101,ITE3	10 	7 	4 
NR,ICCS0101,ITE4	36 	51 	54 
NR,ICCS0101,ITF	212 	233 	251 
NR,ICCS0101,ITF1	8 	9 	3 
NR,ICCS0101,ITF2	3 	2 	2 
NR,ICCS0101,ITF3	67 	108 	116 
NR,ICCS0101,ITF4	64 	48 	50 
NR,ICCS0101,ITF5	7 	1 	2 
NR,ICCS0101,ITF6	63 	65 	78 
NR,ICCS0101,ITG	81 	89 	86 
NR,ICCS0101,ITG1	65 	71 	54 
NR,ICCS0101,ITG2	16 	18 	32 
NR,ICCS0101,LI	1 	1 	1 
NR,ICCS0101,LT	217 	252 	304 
NR,ICCS0101,LT0	217 	252 	304 
NR,ICCS0101,LT00	217 	252 	304 
NR,ICCS0101,LT001	17 	9 	11 
NR,ICCS0101,LT002	56 	56 	53 
NR,ICCS0101,LT003	28 	33 	32 
NR,ICCS0101,LT004	10 	6 	13 
NR,ICCS0101,LT005	19 	20 	28 
NR,ICCS0101,LT006	16 	29 	38 
NR,ICCS0101,LT007	4 	4 	9 
NR,ICCS0101,LT008	6 	14 	7 
NR,ICCS0101,LT009	13 	10 	15 
NR,ICCS0101,LT00A	48 	71 	98 
NR,ICCS0101,LU	8 	5 	7 
NR,ICCS0101,LU0	8 	5 	7 
NR,ICCS0101,LU00	8 	5 	7 
NR,ICCS0101,LU000	8 	5 	7 
NR,ICCS0101,LV	82 	109 	119 
NR,ICCS0101,LV0	82 	109 	119 
NR,ICCS0101,LV00	82 	109 	119 
NR,ICCS0101,LV003	5 	9 	10 
NR,ICCS0101,LV005	18 	8 	20 
NR,ICCS0101,LV006	26 	38 	34 
NR,ICCS0101,LV007	13 	25 	22 
NR,ICCS0101,LV008	6 	17 	13 
NR,ICCS0101,LV009	13 	11 	20 
NR,ICCS0101,LVXXX	1 	1 	0 
NR,ICCS0101,ME	15 	24 	23 
NR,ICCS0101,MT	4 	4 	6 
NR,ICCS0101,MT0	4 	4 	6 
NR,ICCS0101,MT00	4 	4 	6 
NR,ICCS0101,MT001	4 	4 	5 
NR,ICCS0101,MT002	0 	0 	1 
NR,ICCS0101,NL	144 	154 	150 
NR,ICCS0101,NO	29 	29 	34 
NR,ICCS0101,NO0	29 	29 	34 
NR,ICCS0101,NO01	13 	12 	15 
NR,ICCS0101,NO011	5 	7 	12 
NR,ICCS0101,NO012	8 	5 	3 
NR,ICCS0101,NO02	1 	4 	5 
NR,ICCS0101,NO021	1 	1 	1 
NR,ICCS0101,NO022	0 	3 	4 
NR,ICCS0101,NO03	4 	1 	3 
NR,ICCS0101,NO031	1 	0 	0 
NR,ICCS0101,NO032	0 	1 	0 
NR,ICCS0101,NO033	0 	0 	1 
NR,ICCS0101,NO034	3 	0 	2 
NR,ICCS0101,NO04	4 	1 	2 
NR,ICCS0101,NO041	0 	1 	2 
NR,ICCS0101,NO042	2 	0 	0 
NR,ICCS0101,NO043	2 	0 	0 
NR,ICCS0101,NO05	3 	3 	3 
NR,ICCS0101,NO051	3 	1 	0 
NR,ICCS0101,NO052	0 	0 	1 
NR,ICCS0101,NO053	0 	2 	2 
NR,ICCS0101,NO06	1 	3 	4 
NR,ICCS0101,NO061	1 	3 	4 
NR,ICCS0101,NO062	0 	0 	0 
NR,ICCS0101,NO07	3 	5 	2 
NR,ICCS0101,NO071	2 	1 	2 
NR,ICCS0101,NO072	1 	4 	0 
NR,ICCS0101,NO073	0 	0 	0 
NR,ICCS0101,PL	436 	493 	460 
NR,ICCS0101,PL1	96 	109 	114 
NR,ICCS0101,PL11	34 	37 	40 
NR,ICCS0101,PL12	62 	72 	74 
NR,ICCS0101,PL2	87 	88 	82 
NR,ICCS0101,PL21	24 	29 	27 
NR,ICCS0101,PL22	63 	59 	55 
NR,ICCS0101,PL3	58 	74 	73 
NR,ICCS0101,PL31	23 	31 	22 
NR,ICCS0101,PL32	9 	19 	22 
NR,ICCS0101,PL33	15 	11 	16 
NR,ICCS0101,PL34	11 	13 	13 
NR,ICCS0101,PL4	76 	87 	70 
NR,ICCS0101,PL41	26 	38 	25 
NR,ICCS0101,PL42	36 	34 	32 
NR,ICCS0101,PL43	14 	15 	13 
NR,ICCS0101,PL5	50 	66 	63 
NR,ICCS0101,PL51	39 	56 	49 
NR,ICCS0101,PL52	11 	10 	14 
NR,ICCS0101,PL6	69 	69 	58 
NR,ICCS0101,PL61	17 	23 	18 
NR,ICCS0101,PL62	22 	25 	18 
NR,ICCS0101,PL63	30 	21 	22 
NR,ICCS0101,PT	124 	130 	124 
NR,ICCS0101,PT1	116 	107 	78 
NR,ICCS0101,PT11	25 	31 	15 
NR,ICCS0101,PT111	4 	0 	1 
NR,ICCS0101,PT112	2 	5 	0 
NR,ICCS0101,PT113	3 	2 	2 
NR,ICCS0101,PT114	3 	10 	9 
NR,ICCS0101,PT115	7 	4 	1 
NR,ICCS0101,PT116	1 	1 	0 
NR,ICCS0101,PT117	3 	5 	1 
NR,ICCS0101,PT118	2 	4 	1 
NR,ICCS0101,PT15	11 	10 	2 
NR,ICCS0101,PT150	11 	10 	2 
NR,ICCS0101,PT16	24 	19 	17 
NR,ICCS0101,PT161	5 	4 	3 
NR,ICCS0101,PT162	2 	0 	3 
NR,ICCS0101,PT163	3 	3 	4 
NR,ICCS0101,PT164	0 	1 	0 
NR,ICCS0101,PT165	4 	3 	4 
NR,ICCS0101,PT167	0 	1 	0 
NR,ICCS0101,PT168	0 	3 	1 
NR,ICCS0101,PT169	2 	0 	0 
NR,ICCS0101,PT16A	3 	0 	2 
NR,ICCS0101,PT16B	4 	3 	0 
NR,ICCS0101,PT16C	1 	1 	0 
NR,ICCS0101,PT17	44 	38 	33 
NR,ICCS0101,PT171	29 	23 	22 
NR,ICCS0101,PT172	15 	15 	11 
NR,ICCS0101,PT18	12 	9 	11 
NR,ICCS0101,PT181	2 	0 	3 
NR,ICCS0101,PT182	1 	3 	2 
NR,ICCS0101,PT183	0 	0 	5 
NR,ICCS0101,PT184	6 	2 	0 
NR,ICCS0101,PT185	3 	4 	1 
NR,ICCS0101,PT2	4 	3 	1 
NR,ICCS0101,PT20	4 	3 	1 
NR,ICCS0101,PT200	4 	3 	1 
NR,ICCS0101,PT3	4 	1 	5 
NR,ICCS0101,PT30	4 	1 	5 
NR,ICCS0101,PT300	4 	1 	5 
NR,ICCS0101,PTXXX	: 	19 	40 
NR,ICCS0101,RO	404 	397 	470 
NR,ICCS0101,RO1	77 	85 	112 
NR,ICCS0101,RO11	35 	39 	55 
NR,ICCS0101,RO111	4 	9 	15 
NR,ICCS0101,RO112	3 	6 	7 
NR,ICCS0101,RO113	5 	8 	11 
NR,ICCS0101,RO114	12 	7 	11 
NR,ICCS0101,RO115	8 	4 	5 
NR,ICCS0101,RO116	3 	5 	6 
NR,ICCS0101,RO12	42 	46 	57 
NR,ICCS0101,RO121	7 	5 	10 
NR,ICCS0101,RO122	9 	11 	10 
NR,ICCS0101,RO123	1 	3 	7 
NR,ICCS0101,RO124	4 	8 	14 
NR,ICCS0101,RO125	15 	6 	9 
NR,ICCS0101,RO126	6 	13 	7 
NR,ICCS0101,RO2	177 	150 	180 
NR,ICCS0101,RO21	112 	98 	112 
NR,ICCS0101,RO211	24 	23 	28 
NR,ICCS0101,RO212	13 	12 	12 
NR,ICCS0101,RO213	37 	23 	22 
NR,ICCS0101,RO214	12 	10 	27 
NR,ICCS0101,RO215	13 	13 	10 
NR,ICCS0101,RO216	13 	17 	13 
NR,ICCS0101,RO22	65 	52 	68 
NR,ICCS0101,RO221	9 	8 	11 
NR,ICCS0101,RO222	9 	5 	7 
NR,ICCS0101,RO223	18 	12 	19 
NR,ICCS0101,RO224	20 	20 	24 
NR,ICCS0101,RO225	0 	0 	0 
NR,ICCS0101,RO226	9 	7 	7 
NR,ICCS0101,RO3	78 	91 	100 
NR,ICCS0101,RO31	50 	62 	69 
NR,ICCS0101,RO311	5 	9 	12 
NR,ICCS0101,RO312	14 	16 	12 
NR,ICCS0101,RO313	6 	5 	11 
NR,ICCS0101,RO314	5 	3 	2 
NR,ICCS0101,RO315	3 	6 	2 
NR,ICCS0101,RO316	8 	17 	22 
NR,ICCS0101,RO317	9 	6 	8 
NR,ICCS0101,RO32	28 	29 	31 
NR,ICCS0101,RO321	22 	18 	23 
NR,ICCS0101,RO322	6 	11 	8 
NR,ICCS0101,RO4	72 	71 	78 
NR,ICCS0101,RO41	45 	43 	42 
NR,ICCS0101,RO411	21 	16 	13 
NR,ICCS0101,RO412	4 	4 	5 
NR,ICCS0101,RO413	4 	8 	8 
NR,ICCS0101,RO414	9 	11 	10 
NR,ICCS0101,RO415	7 	4 	6 
NR,ICCS0101,RO42	27 	28 	36 
NR,ICCS0101,RO421	9 	8 	9 
NR,ICCS0101,RO422	8 	5 	6 
NR,ICCS0101,RO423	5 	3 	8 
NR,ICCS0101,RO424	5 	12 	13 
NR,ICCS0101,SE	91 	93 	77 
NR,ICCS0101,SE1	31 	: 	: 
NR,ICCS0101,SE11	24 	: 	: 
NR,ICCS0101,SE110	24 	: 	: 
NR,ICCS0101,SE12	7 	: 	: 
NR,ICCS0101,SE121	1 	: 	: 
NR,ICCS0101,SE122	1 	: 	: 
NR,ICCS0101,SE123	2 	: 	: 
NR,ICCS0101,SE124	1 	: 	: 
NR,ICCS0101,SE125	2 	: 	: 
NR,ICCS0101,SE2	45 	: 	: 
NR,ICCS0101,SE21	12 	: 	: 
NR,ICCS0101,SE211	5 	: 	: 
NR,ICCS0101,SE212	6 	: 	: 
NR,ICCS0101,SE213	1 	: 	: 
NR,ICCS0101,SE214	0 	: 	: 
NR,ICCS0101,SE22	10 	: 	: 
NR,ICCS0101,SE221	0 	: 	: 
NR,ICCS0101,SE224	10 	: 	: 
NR,ICCS0101,SE23	23 	: 	: 
NR,ICCS0101,SE231	2 	: 	: 
NR,ICCS0101,SE232	21 	: 	: 
NR,ICCS0101,SE3	15 	: 	: 
NR,ICCS0101,SE31	5 	: 	: 
NR,ICCS0101,SE311	2 	: 	: 
NR,ICCS0101,SE312	2 	: 	: 
NR,ICCS0101,SE313	1 	: 	: 
NR,ICCS0101,SE32	6 	: 	: 
NR,ICCS0101,SE321	5 	: 	: 
NR,ICCS0101,SE322	1 	: 	: 
NR,ICCS0101,SE33	4 	: 	: 
NR,ICCS0101,SE331	2 	: 	: 
NR,ICCS0101,SE332	2 	: 	: 
NR,ICCS0101,SI	10 	13 	11 
NR,ICCS0101,SI01	7 	8 	6 
NR,ICCS0101,SI012	5 	6 	2 
NR,ICCS0101,SI014	0 	0 	2 
NR,ICCS0101,SI016	1 	2 	1 
NR,ICCS0101,SI017	1 	0 	1 
NR,ICCS0101,SI02	3 	5 	5 
NR,ICCS0101,SI021	3 	1 	5 
NR,ICCS0101,SI022	0 	1 	0 
NR,ICCS0101,SI024	0 	3 	0 
NR,ICCS0101,SK	89 	84 	94 
NR,ICCS0101,SK0	89 	84 	94 
NR,ICCS0101,SK01	13 	14 	13 
NR,ICCS0101,SK010	13 	14 	13 
NR,ICCS0101,SK02	39 	23 	37 
NR,ICCS0101,SK021	9 	5 	9 
NR,ICCS0101,SK022	11 	6 	10 
NR,ICCS0101,SK023	19 	12 	18 
NR,ICCS0101,SK03	16 	23 	16 
NR,ICCS0101,SK031	8 	11 	7 
NR,ICCS0101,SK032	8 	12 	9 
NR,ICCS0101,SK04	19 	24 	28 
NR,ICCS0101,SK041	8 	10 	9 
NR,ICCS0101,SK042	11 	14 	19 
NR,ICCS0101,TR	2343 	2690 	2773 
NR,ICCS0101,TR1	285 	407 	426 
NR,ICCS0101,TR10	285 	407 	426 
NR,ICCS0101,TR100	285 	407 	426 
NR,ICCS0101,TR2	112 	117 	111 
NR,ICCS0101,TR21	39 	46 	32 
NR,ICCS0101,TR211	22 	25 	22 
NR,ICCS0101,TR212	9 	8 	7 
NR,ICCS0101,TR213	8 	13 	3 
NR,ICCS0101,TR22	73 	71 	79 
