unit,iccs,geo\time	2010 	2009 	2008 
NR,ICCS0101,BE342	: 	1 	: 
NR,ICCS0101,BE343	1 	2 	: 
NR,ICCS0101,BE344	: 	1 	: 
NR,ICCS0101,BE345	3 	: 	1 
NR,ICCS0101,BE35	9 	9 	5 
NR,ICCS0101,BE351	1 	4 	1 
NR,ICCS0101,BE352	5 	2 	2 
NR,ICCS0101,BE353	3 	3 	2 
NR,ICCS0101,BG	147 	150 	172 
NR,ICCS0101,BG3	93 	77 	79 
NR,ICCS0101,BG31	28 	19 	20 
NR,ICCS0101,BG311	3 	2 	4 
NR,ICCS0101,BG312	4 	5 	3 
NR,ICCS0101,BG313	3 	1 	6 
NR,ICCS0101,BG314	8 	6 	7 
NR,ICCS0101,BG315	10 	5 	0 
NR,ICCS0101,BG32	16 	17 	21 
NR,ICCS0101,BG321	2 	4 	5 
NR,ICCS0101,BG322	5 	0 	3 
NR,ICCS0101,BG323	7 	5 	3 
NR,ICCS0101,BG324	2 	7 	4 
NR,ICCS0101,BG325	0 	1 	6 
NR,ICCS0101,BG33	18 	12 	17 
NR,ICCS0101,BG331	7 	2 	9 
NR,ICCS0101,BG332	3 	3 	3 
NR,ICCS0101,BG333	1 	5 	4 
NR,ICCS0101,BG334	7 	2 	1 
NR,ICCS0101,BG34	31 	29 	21 
NR,ICCS0101,BG341	9 	11 	7 
NR,ICCS0101,BG342	9 	3 	3 
NR,ICCS0101,BG343	5 	5 	3 
NR,ICCS0101,BG344	8 	10 	8 
NR,ICCS0101,BG4	54 	72 	85 
NR,ICCS0101,BG41	35 	46 	52 
NR,ICCS0101,BG411	19 	26 	27 
NR,ICCS0101,BG412	9 	7 	13 
NR,ICCS0101,BG413	2 	4 	7 
NR,ICCS0101,BG414	2 	7 	3 
NR,ICCS0101,BG415	3 	2 	2 
NR,ICCS0101,BG42	19 	26 	33 
NR,ICCS0101,BG421	8 	14 	19 
NR,ICCS0101,BG422	5 	5 	5 
NR,ICCS0101,BG423	5 	3 	6 
NR,ICCS0101,BG424	0 	2 	2 
NR,ICCS0101,BG425	1 	2 	1 
NR,ICCS0101,BGZ	0 	1 	8 
NR,ICCS0101,BGZZ	0 	1 	8 
NR,ICCS0101,BGZZZ	0 	1 	8 
NR,ICCS0101,CH	53 	51 	: 
NR,ICCS0101,CH01	10 	11 	: 
NR,ICCS0101,CH011	3 	3 	: 
NR,ICCS0101,CH012	1 	0 	: 
NR,ICCS0101,CH013	6 	8 	: 
NR,ICCS0101,CH02	9 	8 	: 
NR,ICCS0101,CH021	5 	2 	: 
NR,ICCS0101,CH022	1 	0 	: 
NR,ICCS0101,CH023	2 	6 	: 
NR,ICCS0101,CH024	1 	0 	: 
NR,ICCS0101,CH025	0 	0 	: 
NR,ICCS0101,CH03	6 	11 	: 
NR,ICCS0101,CH031	3 	6 	: 
NR,ICCS0101,CH032	1 	0 	: 
NR,ICCS0101,CH033	2 	5 	: 
NR,ICCS0101,CH04	14 	9 	: 
NR,ICCS0101,CH040	14 	9 	: 
NR,ICCS0101,CH05	8 	5 	: 
NR,ICCS0101,CH051	0 	1 	: 
NR,ICCS0101,CH052	1 	0 	: 
NR,ICCS0101,CH053	0 	0 	: 
NR,ICCS0101,CH054	0 	0 	: 
NR,ICCS0101,CH055	3 	2 	: 
NR,ICCS0101,CH056	2 	0 	: 
NR,ICCS0101,CH057	2 	2 	: 
NR,ICCS0101,CH06	3 	5 	: 
