unit,facility,geo\time	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
P_HTHAB,HBEDT,EL65	312.11 	305.70 	316.76 	290.64 	239.43 	242.71 	240.10 	240.12 	235.13 	220.99 	219.04 	218.56 
P_HTHAB,HBEDT,ES11	360.31 	359.24 	356.07 	357.17 	342.92 	347.31 	336.13 	330.98 	334.61 	333.13 	332.70 	332.19 p
P_HTHAB,HBEDT,ES12	359.40 	351.22 	348.38 	340.09 	332.90 	332.48 	330.64 	324.44 	326.10 	327.96 	337.45 	339.93 p
P_HTHAB,HBEDT,ES13	368.41 	356.31 	346.75 	334.07 	321.99 	319.35 	316.03 	324.11 	330.00 	328.87 	326.29 	327.79 p
P_HTHAB,HBEDT,ES21	374.15 	370.05 	363.65 	361.98 	353.40 	349.73 	339.81 	336.96 	334.85 	330.24 	329.54 	322.39 p
P_HTHAB,HBEDT,ES22	380.31 	378.78 	375.62 	373.19 	372.40 	345.28 	339.97 	337.20 	332.53 	332.59 	331.10 	330.81 p
P_HTHAB,HBEDT,ES23	303.69 	295.60 	277.93 	291.51 	290.12 	287.37 	312.37 	319.34 	319.93 	323.62 	324.54 	318.62 p
P_HTHAB,HBEDT,ES24	375.70 	376.21 	375.52 	372.09 	368.87 	360.46 	362.60 	367.23 	367.57 	370.75 	375.32 	374.60 p
P_HTHAB,HBEDT,ES30	306.21 	308.86 	300.97 	294.71 	293.48 	288.50 	285.60 	285.33 	281.31 	277.09 	275.29 	273.82 p
P_HTHAB,HBEDT,ES41	354.91 	351.88 	353.45 	352.78 	360.18 	353.50 	344.62 	344.33 	347.73 	342.55 	346.85 	351.95 p
P_HTHAB,HBEDT,ES42	256.10 	256.69 	259.41 	251.13 	246.90 	224.60 	219.21 	220.35 	229.98 	235.31 	234.68 	233.07 p
P_HTHAB,HBEDT,ES43	351.73 	358.37 	348.45 	354.06 	349.49 	341.18 	350.60 	347.53 	330.42 	326.20 	326.35 	330.17 p
P_HTHAB,HBEDT,ES51	422.19 	413.31 	407.76 	402.79 	385.40 	381.82 	375.68 	380.57 	382.81 	384.86 	388.06 	387.88 p
P_HTHAB,HBEDT,ES52	250.41 	243.87 	244.59 	245.91 	238.81 	232.40 	232.96 	234.56 	235.68 	235.99 	236.38 	236.30 p
P_HTHAB,HBEDT,ES53	331.83 	324.18 	310.33 	308.55 	300.04 	297.26 	295.51 	299.18 	310.20 	308.86 	299.58 	299.77 p
P_HTHAB,HBEDT,ES61	249.72 	239.66 	235.89 	225.59 	222.07 	216.55 	219.35 	217.32 	220.12 	217.13 	219.67 	219.07 p
P_HTHAB,HBEDT,ES62	313.62 	313.98 	311.47 	313.46 	317.29 	318.75 	317.60 	319.73 	323.93 	323.32 	317.99 	321.20 p
P_HTHAB,HBEDT,ES63	243.62 	258.91 	236.84 	218.75 	216.36 	216.17 	212.75 	212.56 	210.22 	209.80 	207.94 	208.19 p
P_HTHAB,HBEDT,ES64	279.58 	228.20 	227.56 	215.60 	206.65 	199.50 	197.03 	195.92 	194.88 	189.74 	192.16 	190.09 p
P_HTHAB,HBEDT,ES70	355.86 	345.19 	339.55 	334.06 	323.31 	315.57 	310.89 	311.81 	314.45 	310.01 	310.34 	310.50 p
P_HTHAB,HBEDT,FI19	686.26 	674.42 	653.96 	637.52 	606.98 	582.17 	529.51 	469.39 	450.01 	403.52 	340.68 	329.33 
P_HTHAB,HBEDT,FI1B	525.69 	515.67 	499.10 	429.86 	413.84 	392.25 	364.24 	344.14 	342.41 	323.64 	289.32 	264.35 
P_HTHAB,HBEDT,FI1C	719.75 	696.97 	643.56 	612.91 	575.17 	551.95 	501.68 	474.01 	443.98 	400.14 	303.52 	311.99 
P_HTHAB,HBEDT,FI1D	788.58 	768.11 	727.69 	691.18 	640.57 	622.44 	581.76 	553.57 	531.14 	483.80 	388.07 	394.60 
P_HTHAB,HBEDT,FI20	584.36 	534.71 	536.33 	491.56 	443.57 	415.09 	349.85 	305.65 	262.53 	264.62 	238.49 	202.44 
P_HTHAB,HBEDT,FR10	635.88 	628.23 	618.94 	600.26 	595.93 	592.69 	576.15 	570.11 	562.19 	555.54 	549.56 	539.86 
P_HTHAB,HBEDT,FR21	728.67 	718.62 	639.15 	625.60 	615.40 	613.16 	591.87 	616.16 	605.43 	592.29 	: 	: 
P_HTHAB,HBEDT,FR22	722.57 	718.33 	690.33 	640.49 	638.98 	634.37 	631.02 	624.93 	612.96 	601.46 	: 	: 
P_HTHAB,HBEDT,FR23	597.41 	598.48 	570.75 	567.30 	560.44 	574.91 	561.26 	568.74 	569.97 	567.92 	: 	: 
P_HTHAB,HBEDT,FR24	722.39 	684.55 	666.96 	636.41 	626.12 	626.40 	629.99 	625.29 	628.40 	627.13 	: 	: 
P_HTHAB,HBEDT,FR25	715.64 	712.04 	672.27 	673.20 	658.54 	659.42 	638.79 	639.44 	628.20 	612.02 	: 	: 
P_HTHAB,HBEDT,FR26	757.10 	754.03 	733.92 	724.05 	710.75 	712.89 	711.67 	706.08 	694.76 	694.05 	: 	: 
P_HTHAB,HBEDT,FR30	669.46 	672.40 	655.11 	622.76 	619.49 	627.41 	624.27 	617.52 	611.63 	604.84 	: 	: 
P_HTHAB,HBEDT,FR41	785.06 	755.89 	729.41 	693.17 	682.70 	669.65 	667.38 	657.87 	650.59 	639.98 	: 	: 
P_HTHAB,HBEDT,FR42	774.06 	754.59 	721.76 	659.22 	651.69 	640.33 	637.56 	631.89 	624.69 	611.64 	: 	: 
P_HTHAB,HBEDT,FR43	719.54 	699.27 	650.78 	653.33 	649.52 	642.22 	621.36 	613.54 	601.17 	586.38 	: 	: 
P_HTHAB,HBEDT,FR51	654.19 	632.16 	603.98 	566.93 	560.98 	561.79 	559.19 	546.53 	537.42 	528.55 	: 	: 
P_HTHAB,HBEDT,FR52	793.85 	761.23 	711.53 	673.48 	666.66 	653.78 	650.29 	639.14 	634.86 	620.90 	: 	: 
P_HTHAB,HBEDT,FR53	652.03 	633.14 	600.63 	593.04 	587.46 	590.80 	584.59 	590.18 	577.61 	567.49 	: 	: 
P_HTHAB,HBEDT,FR61	730.95 	707.55 	689.42 	682.67 	674.17 	668.07 	666.04 	653.12 	645.43 	634.59 	: 	: 
P_HTHAB,HBEDT,FR62	720.97 	704.69 	686.47 	662.73 	658.52 	657.20 	645.74 	644.48 	638.29 	628.42 	: 	: 
P_HTHAB,HBEDT,FR63	952.26 	949.05 	865.85 	834.45 	828.00 	837.05 	840.18 	841.65 	841.48 	825.18 	: 	: 
P_HTHAB,HBEDT,FR71	713.49 	685.06 	641.40 	635.32 	626.72 	624.99 	615.56 	603.68 	595.81 	587.98 	: 	: 
P_HTHAB,HBEDT,FR72	884.41 	877.87 	869.53 	770.85 	755.70 	740.99 	748.24 	742.98 	741.59 	740.44 	: 	: 
P_HTHAB,HBEDT,FR81	768.21 	751.72 	747.48 	711.78 	694.93 	691.01 	692.32 	682.84 	677.83 	677.24 	: 	: 
P_HTHAB,HBEDT,FR82	764.79 	751.35 	734.56 	719.98 	715.76 	713.40 	731.86 	720.90 	713.39 	702.74 	: 	: 
P_HTHAB,HBEDT,FR83	764.89 	707.15 	724.77 	729.28 	693.78 	660.84 	617.30 	597.70 	613.65 	609.59 	: 	: 
P_HTHAB,HBEDT,FR91	607.12 	602.86 	598.29 	549.35 	543.07 	567.65 	544.91 	: 	: 	: 	: 	: 
P_HTHAB,HBEDT,FR92	647.96 	577.76 	643.83 	637.18 	596.58 	586.50 	604.68 	: 	: 	: 	: 	: 
P_HTHAB,HBEDT,FR93	418.69 	425.03 	373.97 	367.90 	349.68 	374.65 	373.40 	: 	: 	: 	: 	: 
