"indic_sb,nace_r2,geo\time"	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008
"V97120,R_S,CZ064"	4.32	4.93	4.44	5.5	5.66	: 	: 	: 	: 	: 
"V97120,R_S,CZ07"	6.61	6.3	5.45	6.28	6.98	: 	: 	: 	: 	: 
"V97120,R_S,CZ071"	6.5	5.85	5.56	6.1	7.6	: 	: 	: 	: 	: 
"V97120,R_S,CZ072"	6.72	6.75	5.34	6.45	6.35	: 	: 	: 	: 	: 
"V97120,R_S,CZ08"	4.72	5.04	4.23	4.98	5.83	: 	: 	: 	: 	: 
"V97120,R_S,CZ080"	4.72	5.04	4.23	4.98	5.83	: 	: 	: 	: 	: 
"V97120,R_S,DK"	: 	: 	: 	: 	2.7	3.59	3.7	: 	: 	: 
"V97120,R_S,DK0"	: 	: 	: 	: 	2.7	3.59	3.7	: 	: 	: 
"V97120,R_S,DK01"	: 	: 	: 	: 	2.36	2.87	3.09	: 	: 	: 
"V97120,R_S,DK011"	: 	: 	: 	: 	2.15	2.8	3.11	: 	: 	: 
"V97120,R_S,DK012"	: 	: 	: 	: 	1.95	2.16	2.44	: 	: 	: 
"V97120,R_S,DK013"	: 	: 	: 	: 	4.88	5.04	4.68	: 	: 	: 
"V97120,R_S,DK014"	: 	: 	: 	: 	2.78	2.97	2.07	: 	: 	: 
"V97120,R_S,DK02"	: 	: 	: 	: 	4.21	5.05	5.96	: 	: 	: 
"V97120,R_S,DK021"	: 	: 	: 	: 	5.04	5.29	5.06	: 	: 	: 
"V97120,R_S,DK022"	: 	: 	: 	: 	3.84	4.94	6.36	: 	: 	: 
"V97120,R_S,DK03"	: 	: 	: 	: 	3.24	4.41	4.26	: 	: 	: 
"V97120,R_S,DK031"	: 	: 	: 	: 	4.41	4.66	4.58	: 	: 	: 
"V97120,R_S,DK032"	: 	: 	: 	: 	2.65	4.28	4.09	: 	: 	: 
"V97120,R_S,DK04"	: 	: 	: 	: 	2.71	3.97	3.78	: 	: 	: 
"V97120,R_S,DK041"	: 	: 	: 	: 	2.58	3.95	3.76	: 	: 	: 
"V97120,R_S,DK042"	: 	: 	: 	: 	3.02	4.02	3.82	: 	: 	: 
"V97120,R_S,DK05"	: 	: 	: 	: 	2.33	4.01	3.74	: 	: 	: 
"V97120,R_S,DK050"	: 	: 	: 	: 	2.33	4.01	3.74	: 	: 	: 
"V97120,R_S,EE"	9.89	9.09	10.08	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,EE0"	9.89	9.09	10.08	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,EE00"	9.89	9.09	10.08	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,EE001"	9.5	8.41	9.68	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,EE004"	10.19	9.39	11.14	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,EE006"	10.69	9.3	8.37	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,EE007"	9.55	12.98	16.48	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,EE008"	10.88	9.99	9.62	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,ES"	5.21	6.23	: 	6.1	5.53	4.38	5.16	: 	: 	: 
"V97120,R_S,ES1"	4.89	5.52	: 	6	5.5	4.41	4.77	: 	: 	: 
"V97120,R_S,ES11"	5.05	5.56	: 	5.95	5.36	4.8	4.86	: 	: 	: 
"V97120,R_S,ES111"	4.56	5.44	: 	5.29	4.57	4.13	4.25	: 	: 	: 
"V97120,R_S,ES112"	4.99	4.88	: 	5.73	5.18	4.93	4.44	: 	: 	: 
"V97120,R_S,ES113"	6.49	6.81	: 	6.34	5.71	5.46	5.92	: 	: 	: 
