"indic_sb,nace_r2,geo\time"	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008
"V97120,R_S,HU1"	13.63	12.65	12.03	11.27	10	6.78	7.71	: 	: 	: 
"V97120,R_S,HU10"	: 	: 	12.03	11.27	10	6.78	7.71	: 	: 	: 
"V97120,R_S,HU101"	: 	: 	10.92	10.38	9.44	6.26	7.21	: 	: 	: 
"V97120,R_S,HU102"	: 	: 	15.04	13.65	11.46	8.37	9.16	: 	: 	: 
"V97120,R_S,HU11"	12.59	11.43	10.92	10.38	: 	: 	: 	: 	: 	: 
"V97120,R_S,HU110"	12.59	11.43	10.92	10.38	: 	: 	: 	: 	: 	: 
"V97120,R_S,HU12"	16.19	15.81	15.04	13.65	: 	: 	: 	: 	: 	: 
"V97120,R_S,HU120"	16.19	15.81	15.04	13.65	: 	: 	: 	: 	: 	: 
"V97120,R_S,HU2"	14.54	13.87	13.2	13.3	10.41	9.5	8.15	: 	: 	: 
"V97120,R_S,HU21"	15.27	15.14	13.84	14.95	12	8.28	9.47	: 	: 	: 
"V97120,R_S,HU211"	16.38	15.36	13.03	15.82	12.13	7.95	8.39	: 	: 	: 
"V97120,R_S,HU212"	14.82	16.16	14.66	14.18	10.1	8.24	11.16	: 	: 	: 
"V97120,R_S,HU213"	14.28	14.09	14.11	14.53	13.33	8.67	9.35	: 	: 	: 
"V97120,R_S,HU22"	14.8	13.76	12.35	12.81	9.8	8.07	7.15	: 	: 	: 
"V97120,R_S,HU221"	15.13	15.24	13.98	13.48	9.98	8.05	7.41	: 	: 	: 
"V97120,R_S,HU222"	15.81	13.04	11.54	11.47	9.48	8.69	6.27	: 	: 	: 
"V97120,R_S,HU223"	12.97	11.38	10	12.89	9.78	7.53	7.54	: 	: 	: 
"V97120,R_S,HU23"	13.19	12.48	13.69	12.09	9.55	12.75	8.09	: 	: 	: 
"V97120,R_S,HU231"	13.18	12.52	12.69	12.47	9.79	16.95	7.52	: 	: 	: 
"V97120,R_S,HU232"	12.2	12.58	14.95	10.03	9.19	8.43	9.07	: 	: 	: 
"V97120,R_S,HU233"	14.7	12.24	13.91	14.61	9.56	11.07	7.56	: 	: 	: 
"V97120,R_S,HU3"	14.31	13.01	12.57	12.02	9.87	9.56	7.8	: 	: 	: 
"V97120,R_S,HU31"	14.18	13.44	13.66	11.5	8.48	12.9	7.9	: 	: 	: 
"V97120,R_S,HU311"	12.99	12.57	13.35	9.91	7.24	16.7	8.86	: 	: 	: 
"V97120,R_S,HU312"	16.22	15.24	14.08	14.02	9.48	8.25	7.14	: 	: 	: 
"V97120,R_S,HU313"	15.44	13.78	14.2	14.07	12.84	8.38	6.1	: 	: 	: 
"V97120,R_S,HU32"	14.3	12.3	11.98	12.54	10.75	7.94	7.66	: 	: 	: 
"V97120,R_S,HU321"	15.42	12.03	10.57	12.77	9.29	7.43	6.62	: 	: 	: 
"V97120,R_S,HU322"	15.29	12.49	14.61	11.19	10.62	8.93	8.38	: 	: 	: 
"V97120,R_S,HU323"	12.11	12.51	11.88	13.31	12.91	7.87	8.44	: 	: 	: 
"V97120,R_S,HU33"	14.42	13.45	12.38	11.89	10.11	8.34	7.86	: 	: 	: 
"V97120,R_S,HU331"	16.52	13.87	13.14	12.41	10.83	7.69	7.88	: 	: 	: 
"V97120,R_S,HU332"	13.02	14.89	12.12	12.54	10.61	10.73	7.23	: 	: 	: 
"V97120,R_S,HU333"	13.26	12.11	11.81	11.01	9.11	7.44	8.22	: 	: 	: 
"V97120,R_S,IT"	3.95	4.09	4.15	3.91	4.03	3.96	3.84	: 	: 	: 
"V97120,R_S,ITC"	3.68	4.17	3.79	3.81	3.63	3.62	3.59	: 	: 	: 
"V97120,R_S,ITC1"	3.87	4.43	4.02	3.75	3.57	3.56	3.66	: 	: 	: 
"V97120,R_S,ITC11"	4.32	4.89	4.37	4.19	3.88	3.67	4.11	: 	: 	: 
"V97120,R_S,ITC12"	1.82	3.73	3.26	2.28	2.74	2.85	2.17	: 	: 	: 
"V97120,R_S,ITC13"	3.46	2.88	4.16	2.35	3.11	3.06	2.79	: 	: 	: 
"V97120,R_S,ITC14"	3.11	3.37	2.2	3.07	2.56	2.57	3.41	: 	: 	: 
"V97120,R_S,ITC15"	3.72	3.73	4.11	3.93	3.27	3.21	3.13	: 	: 	: 
"V97120,R_S,ITC16"	3.47	3.59	3.37	2.76	3.67	4.07	3.27	: 	: 	: 
"V97120,R_S,ITC17"	3.85	4.13	4.57	4.16	3.77	2.8	4.66	: 	: 	: 
"V97120,R_S,ITC18"	3.49	5.28	3.72	4.16	3.11	3.91	3.05	: 	: 	: 
"V97120,R_S,ITC2"	1.69	2.39	2.72	2.34	2.42	1.79	1.67	: 	: 	: 
"V97120,R_S,ITC20"	1.69	2.39	2.72	2.34	2.42	1.79	1.67	: 	: 	: 
"V97120,R_S,ITC3"	2.86	3.26	3.52	2.96	3.02	3.41	3.38	: 	: 	: 
"V97120,R_S,ITC31"	3.84	2.76	2.47	2.74	2.64	3.46	3.27	: 	: 	: 
"V97120,R_S,ITC32"	2.79	3.11	3.89	2.35	2.55	3.29	3.08	: 	: 	: 
"V97120,R_S,ITC33"	2.5	3.27	3.55	3.13	3.24	3.29	3.48	: 	: 	: 
"V97120,R_S,ITC34"	3.32	4.03	4.02	3.55	3.41	4.07	3.59	: 	: 	: 
"V97120,R_S,ITC4"	3.78	4.26	3.77	4	3.78	3.71	3.63	: 	: 	: 
"V97120,R_S,ITC41"	2.92	3.52	3.25	3.5	3.11	3.16	2.89	: 	: 	: 
"V97120,R_S,ITC42"	4.42	3.7	3.22	2.92	3.08	3.48	3.83	: 	: 	: 
"V97120,R_S,ITC43"	3.41	4.01	4.1	3.62	3.21	3.03	4.31	: 	: 	: 
"V97120,R_S,ITC44"	3.8	3.45	2.69	2.61	3.43	3.08	4.84	: 	: 	: 
"V97120,R_S,ITC46"	3.36	3.72	3.29	3.39	3.04	3.13	3.05	: 	: 	: 
"V97120,R_S,ITC47"	3.01	3.7	2.87	2.72	3.46	3.51	3.82	: 	: 	: 
"V97120,R_S,ITC48"	4.31	4.19	4.42	3.52	4.36	4.15	3.21	: 	: 	: 
"V97120,R_S,ITC49"	4.55	3.83	3.06	2.96	4.15	3.26	3.32	: 	: 	: 
"V97120,R_S,ITC4A"	2.3	3.9	3.2	3.56	3.48	4.12	2.72	: 	: 	: 
"V97120,R_S,ITC4B"	3.13	3.38	3.69	3.09	3.1	3.79	4.27	: 	: 	: 
"V97120,R_S,ITC4C"	4.31	4.74	4.27	5.02	4.05	4.02	3.94	: 	: 	: 
"V97120,R_S,ITC4D"	3.57	5.24	4.08	3.93	5.23	3.86	3.02	: 	: 	: 
"V97120,R_S,ITF"	4.79	4.76	5.29	4.76	5.08	4.97	4.89	: 	: 	: 
"V97120,R_S,ITF1"	4.42	4.24	4.01	4.23	4.14	4.18	5.69	: 	: 	: 
"V97120,R_S,ITF11"	4.85	4.76	3.79	4.49	5.03	4.56	10.05	: 	: 	: 
"V97120,R_S,ITF12"	4.68	5.61	3.85	4.32	4.24	4.11	4.84	: 	: 	: 
"V97120,R_S,ITF13"	4.4	3.27	4.11	4.66	4.23	4.41	4.84	: 	: 	: 
"V97120,R_S,ITF14"	3.9	3.65	4.18	3.58	3.43	3.77	4.58	: 	: 	: 
"V97120,R_S,ITF2"	4.66	3.93	4.62	5.49	3.91	5.21	4.91	: 	: 	: 
"V97120,R_S,ITF21"	2.9	5.91	6.25	5.25	4.53	5.12	5.16	: 	: 	: 
"V97120,R_S,ITF22"	5.35	3.14	4	5.58	3.69	5.25	4.82	: 	: 	: 
"V97120,R_S,ITF3"	5.23	5.13	6.39	5.45	5.37	5.32	4.9	: 	: 	: 
"V97120,R_S,ITF31"	6.19	6.39	5.83	6.8	7.47	7.08	6.76	: 	: 	: 
"V97120,R_S,ITF32"	5	5.28	7.08	5.52	5.26	5.18	5.36	: 	: 	: 
"V97120,R_S,ITF33"	5.29	5.08	5.74	5.42	5.34	5.05	4.61	: 	: 	: 
"V97120,R_S,ITF34"	4.58	4.46	3.92	4.58	4.72	4.83	4.06	: 	: 	: 
"V97120,R_S,ITF35"	4.78	4.69	8.88	5.01	4.47	5.15	4.73	: 	: 	: 
"V97120,R_S,ITF4"	4.29	4.18	4.56	4.02	4.79	4.7	4.17	: 	: 	: 
"V97120,R_S,ITF43"	4.01	4.45	5.38	4.08	4.74	4.33	3.81	: 	: 	: 
"V97120,R_S,ITF44"	4.86	5	4.21	4.38	4.21	4.72	5.62	: 	: 	: 
"V97120,R_S,ITF45"	4.6	4.13	4.7	3.82	5.23	5.56	4.08	: 	: 	: 
"V97120,R_S,ITF46"	4.78	3.71	4.78	4.11	5.34	4.91	3.96	: 	: 	: 
"V97120,R_S,ITF47"	4.06	3.95	4.38	4.15	4.55	4.17	4.19	: 	: 	: 
"V97120,R_S,ITF48"	3.58	4.64	3.97	3.5	4.56	4.88	3.63	: 	: 	: 
"V97120,R_S,ITF5"	4.63	4.47	4.83	5.28	5.8	4.69	5.92	: 	: 	: 
"V97120,R_S,ITF51"	4.51	4.81	5.12	5.33	5.56	4.09	5.64	: 	: 	: 
"V97120,R_S,ITF52"	4.82	3.91	4.35	5.18	6.23	5.71	6.44	: 	: 	: 
"V97120,R_S,ITF6"	4.99	5.82	5.03	4.67	5.99	5.54	5.5	: 	: 	: 
"V97120,R_S,ITF61"	5.21	6.88	4.8	4.08	5.29	5.12	5.26	: 	: 	: 
"V97120,R_S,ITF62"	7.38	5.99	7.28	4.73	7.83	6.43	4.6	: 	: 	: 
"V97120,R_S,ITF63"	4.36	3.89	4.65	4.64	4.6	4.82	4.96	: 	: 	: 
"V97120,R_S,ITF64"	4.27	7.27	5	5.43	7.92	6.15	7.26	: 	: 	: 
"V97120,R_S,ITF65"	4.78	5.35	5.18	5.41	7.33	6.41	6.1	: 	: 	: 
"V97120,R_S,ITG"	4.69	4.34	4.7	3.97	4.61	4.48	4.1	: 	: 	: 
"V97120,R_S,ITG1"	4.38	4.4	4.75	4.04	4.6	4.64	4.35	: 	: 	: 
"V97120,R_S,ITG11"	5.2	3.83	4.66	3.99	4.88	4.77	4.3	: 	: 	: 
"V97120,R_S,ITG12"	3.59	3.66	4.16	3.4	4.36	4.68	3.35	: 	: 	: 
"V97120,R_S,ITG13"	4.95	4.88	4.45	4.63	5.05	4.39	5.27	: 	: 	: 
"V97120,R_S,ITG14"	3.95	5.23	4.54	4.68	5.23	5.14	4.81	: 	: 	: 
"V97120,R_S,ITG15"	4.22	5.13	5.11	4.79	4.82	4.92	3.4	: 	: 	: 
"V97120,R_S,ITG16"	4.43	4.98	3.7	5.57	8	3.62	3.63	: 	: 	: 
"V97120,R_S,ITG17"	4.5	4.67	6.21	4.5	4.29	4.58	5.28	: 	: 	: 
"V97120,R_S,ITG18"	5.51	4.36	3.67	2.94	3.96	3.95	3.78	: 	: 	: 
"V97120,R_S,ITG19"	4.27	4.93	4.83	3.73	4.2	5.37	4.78	: 	: 	: 
"V97120,R_S,ITG2"	5.44	4.17	4.59	3.8	4.63	4.1	3.53	: 	: 	: 
"V97120,R_S,ITG25"	5.88	3.93	4.38	3.83	5.17	5.45	4.06	: 	: 	: 
"V97120,R_S,ITG26"	4.86	5.56	4.76	4.5	5.87	5.37	3.33	: 	: 	: 
"V97120,R_S,ITG27"	5.46	3.62	4.82	3.96	3.4	3.27	3.36	: 	: 	: 
"V97120,R_S,ITG28"	3.85	4.91	3.55	3.24	5.87	3.96	3.57	: 	: 	: 
"V97120,R_S,ITG29"	6.18	5.01	4.17	3.46	5.36	3.95	3.76	: 	: 	: 
"V97120,R_S,ITG2A"	8.1	4.89	4.21	3.69	4.98	3.27	3.31	: 	: 	: 
"V97120,R_S,ITG2B"	4.61	5.38	6.65	4.23	2.69	3.73	2.59	: 	: 	: 
"V97120,R_S,ITG2C"	4.42	3.2	4.69	3.17	6.99	4.21	3.1	: 	: 	: 
"V97120,R_S,ITH"	3.11	3.35	3.32	3.09	3.16	3.23	3.07	: 	: 	: 
"V97120,R_S,ITH1"	3.26	2.97	2.84	3.49	3.38	3	2.27	: 	: 	: 
"V97120,R_S,ITH10"	3.26	2.97	2.84	3.49	3.38	3	2.27	: 	: 	: 
"V97120,R_S,ITH2"	4.53	4.22	3.81	3.57	2.6	2.73	3.01	: 	: 	: 
"V97120,R_S,ITH20"	4.53	4.22	3.81	3.57	2.6	2.73	3.01	: 	: 	: 
"V97120,R_S,ITH3"	2.97	3.46	3.1	2.87	3.06	3.03	3.09	: 	: 	: 
"V97120,R_S,ITH31"	3.07	3.52	3.36	2.78	2.74	2.9	3.38	: 	: 	: 
"V97120,R_S,ITH32"	2.73	3.13	2.82	3.24	2.67	2.98	3.31	: 	: 	: 
"V97120,R_S,ITH33"	3.42	3.47	6.55	3.14	4.32	2.44	3.19	: 	: 	: 
"V97120,R_S,ITH34"	2.67	3.38	2.74	2.64	3.03	2.51	3.25	: 	: 	: 
"V97120,R_S,ITH35"	2.58	3	2.76	2.78	2.71	2.82	2.64	: 	: 	: 
"V97120,R_S,ITH36"	3.66	4.04	3.19	2.99	4.03	3.67	2.9	: 	: 	: 
"V97120,R_S,ITH37"	3.35	4.51	3.24	2.68	2.98	4.56	3.03	: 	: 	: 
"V97120,R_S,ITH4"	3.89	4.26	3.97	4.07	4.08	3.61	3.36	: 	: 	: 
"V97120,R_S,ITH41"	3.51	4.14	3.59	4.05	3.63	4.3	3.05	: 	: 	: 
"V97120,R_S,ITH42"	3.7	4.47	4.26	4.02	3.92	3.09	3.43	: 	: 	: 
"V97120,R_S,ITH43"	4.65	3.55	4.4	4.91	3.01	4.13	3.13	: 	: 	: 
"V97120,R_S,ITH44"	4.46	4.32	3.52	3.77	5.76	3.81	3.73	: 	: 	: 
"V97120,R_S,ITH5"	2.96	3.02	3.43	3.03	3.1	3.42	3.06	: 	: 	: 
"V97120,R_S,ITH51"	2.7	3.53	4.01	3.73	2.9	3.3	3.08	: 	: 	: 
"V97120,R_S,ITH52"	2.45	2.87	3.01	2.52	2.01	2.58	2.66	: 	: 	: 
"V97120,R_S,ITH53"	3.22	3.53	3.54	3.73	3.62	3.67	3.21	: 	: 	: 
"V97120,R_S,ITH54"	3.84	3.72	4.06	3.24	3.92	3.75	3.21	: 	: 	: 
"V97120,R_S,ITH55"	3.88	3.4	4.06	3.46	3.61	3.55	3.54	: 	: 	: 
"V97120,R_S,ITH56"	1.95	2.56	2.93	2.79	2.21	3.13	2.53	: 	: 	: 
"V97120,R_S,ITH57"	2.6	2.61	3.07	2.88	3	4.31	3.43	: 	: 	: 
"V97120,R_S,ITH58"	2.86	2.66	2.8	2.48	2.96	3.51	2.71	: 	: 	: 
"V97120,R_S,ITH59"	2.04	2.05	2.84	2.44	2.99	2.92	2.78	: 	: 	: 
"V97120,R_S,ITI"	4.22	4.09	4.38	4.15	4.44	4.17	4.05	: 	: 	: 
"V97120,R_S,ITI1"	3.31	3.58	3.85	3.43	3.62	3.51	3.67	: 	: 	: 
"V97120,R_S,ITI11"	4.27	3.06	3.68	2.6	4.63	3.33	3.72	: 	: 	: 
"V97120,R_S,ITI12"	3.07	3.13	2.94	2.75	2.58	2.37	2.5	: 	: 	: 
"V97120,R_S,ITI13"	3.47	4	4.99	4.48	4.15	4.81	5.01	: 	: 	: 
"V97120,R_S,ITI14"	3.33	3.28	4.07	3.54	3.24	3.69	3.7	: 	: 	: 
"V97120,R_S,ITI15"	3.13	4.09	4.34	3.87	4.04	3.38	3.54	: 	: 	: 
"V97120,R_S,ITI16"	4.11	3.64	3.77	3.46	5.67	2.8	3.11	: 	: 	: 
"V97120,R_S,ITI17"	3.12	4.04	3.78	3.86	3.61	4.36	3.48	: 	: 	: 
"V97120,R_S,ITI18"	3.09	4.13	3.9	3.72	3.97	4.57	4.35	: 	: 	: 
"V97120,R_S,ITI19"	3.56	3.49	3.69	3.2	2.72	2.06	3.13	: 	: 	: 
"V97120,R_S,ITI1A"	2.2	3.91	3.55	2.61	3.3	3.91	5.5	: 	: 	: 
"V97120,R_S,ITI2"	2.8	3.46	3.07	3.16	2.98	2.88	2.62	: 	: 	: 
"V97120,R_S,ITI21"	2.91	3.65	2.88	2.89	3.07	2.89	2.92	: 	: 	: 
"V97120,R_S,ITI22"	2.49	2.92	3.71	4.11	2.73	2.87	1.81	: 	: 	: 
"V97120,R_S,ITI3"	3.88	3.37	3.61	3.7	4.55	4.02	3.45	: 	: 	: 
"V97120,R_S,ITI31"	4.02	3.44	3.23	4.01	4.5	2.82	2.86	: 	: 	: 
"V97120,R_S,ITI32"	3.72	3.18	3.57	3.29	3.48	3.21	3.27	: 	: 	: 
"V97120,R_S,ITI33"	3.31	2.57	3.8	3.47	3.93	4.45	4.22	: 	: 	: 
"V97120,R_S,ITI34"	5.05	4.08	3.88	4.2	7.23	7.04	3.28	: 	: 	: 
"V97120,R_S,ITI35"	3.28	4.4	3.74	3.71	4.51	3.47	4.07	: 	: 	: 
"V97120,R_S,ITI4"	5.15	4.72	5.16	4.96	5.26	4.93	4.75	: 	: 	: 
"V97120,R_S,ITI41"	4.34	3.24	3.2	4.45	3.15	3.79	3.55	: 	: 	: 
"V97120,R_S,ITI42"	5.15	3.84	4.07	5.7	4.29	4.06	4.38	: 	: 	: 
"V97120,R_S,ITI43"	5.25	4.79	5.34	5.11	5.32	5.06	4.83	: 	: 	: 
"V97120,R_S,ITI44"	4.94	5.44	4.95	4.06	6.64	4.92	5.6	: 	: 	: 
"V97120,R_S,ITI45"	4.73	4.19	4.81	4.4	4.56	4.35	3.62	: 	: 	: 
"V97120,R_S,LT"	8.45	13.1	14.54	15.43	15.72	15.32	15.33	: 	: 	: 
"V97120,R_S,LT0"	8.45	13.1	14.54	15.43	15.72	15.32	15.33	: 	: 	: 
"V97120,R_S,LT00"	: 	: 	14.54	15.43	15.72	15.32	15.33	: 	: 	: 
"V97120,R_S,LT001"	: 	: 	12.49	1.34	2.77	5.72	1.57	: 	: 	: 
"V97120,R_S,LT002"	: 	: 	12.34	5.21	3.53	5.98	4.55	: 	: 	: 
"V97120,R_S,LT003"	: 	: 	16.88	3.65	5.14	6.61	7.18	: 	: 	: 
"V97120,R_S,LT004"	: 	: 	22.17	: c	5.45	4.42	: c	: 	: 	: 
"V97120,R_S,LT005"	: 	: 	17.83	5.29	6.99	4.11	4.82	: 	: 	: 
"V97120,R_S,LT006"	: 	: 	17.21	14.2	4.64	5.73	6.54	: 	: 	: 
"V97120,R_S,LT007"	: 	: 	17.88	: c	12.08	: c	3.25	: 	: 	: 
"V97120,R_S,LT008"	: 	: 	19.52	7.81	9.36	3.63	: c	: 	: 	: 
"V97120,R_S,LT009"	: 	: 	19.86	8.94	8.13	: c	9.83	: 	: 	: 
"V97120,R_S,LT00A"	: 	: 	13.04	18.64	19.63	19.05	19.75	: 	: 	: 
"V97120,R_S,LT01"	8.19	11.89	13.04	18.64	: 	: 	: 	: 	: 	: 
"V97120,R_S,LT011"	8.19	11.89	13.04	18.64	: 	: 	: 	: 	: 	: 
"V97120,R_S,LT02"	8.63	13.94	15.57	5.48	: 	: 	: 	: 	: 	: 
"V97120,R_S,LT021"	7.12	8.25	12.49	1.34	: 	: 	: 	: 	: 	: 
"V97120,R_S,LT022"	8.58	12.27	12.34	5.21	: 	: 	: 	: 	: 	: 
"V97120,R_S,LT023"	9.25	15.53	16.88	3.65	: 	: 	: 	: 	: 	: 
"V97120,R_S,LT024"	7.72	18.61	22.17	: c	: 	: 	: 	: 	: 	: 
"V97120,R_S,LT025"	8.37	14.32	17.83	5.29	: 	: 	: 	: 	: 	: 
"V97120,R_S,LT026"	9.09	15.79	17.21	14.2	: 	: 	: 	: 	: 	: 
"V97120,R_S,LT027"	8.02	17.59	17.88	: c	: 	: 	: 	: 	: 	: 
"V97120,R_S,LT028"	9.85	16.19	19.52	7.81	: 	: 	: 	: 	: 	: 
"V97120,R_S,LT029"	8.46	15.95	19.86	8.94	: 	: 	: 	: 	: 	: 
"V97120,R_S,LV"	9.11	: 	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,LV0"	9.11	: 	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,LV00"	9.11	: 	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,LV003"	12.98	: 	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,LV005"	11.1	: 	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,LV006"	7.73	: 	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,LV007"	8.79	: 	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,LV008"	10.96	: 	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,LV009"	11.51	: 	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL"	9.3	9.47	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL2"	8.85	9.21	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL21"	9.41	9.95	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL213"	9.22	11.14	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL214"	10.72	9.75	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL217"	8.01	10.46	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL218"	11.24	8.67	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL219"	7.5	8.89	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL21A"	8.83	8.58	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL22"	8.41	8.67	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL224"	9.67	9.82	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL225"	8.17	6.71	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL227"	8.96	10.61	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL228"	8.57	7.06	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL229"	8.45	10.01	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL22A"	6.94	8.2	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL22B"	9.81	10.06	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL22C"	8.34	8.48	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL4"	10.09	10.63	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL41"	9.66	10.56	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL411"	10.71	8.43	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL414"	11.07	12.43	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL415"	8.32	9.59	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL416"	11.06	11.14	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL417"	9.86	9.3	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL418"	8.72	12	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL42"	10.63	11.16	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL424"	11.5	12.26	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL426"	10.83	8.76	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL427"	11.26	11.53	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL428"	9.16	11.73	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL43"	10.8	9.96	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL431"	11.52	9.67	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL432"	10.28	10.15	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL5"	9.66	9.07	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL51"	9.84	9.34	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL514"	9.06	9.6	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL515"	11.41	9.56	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL516"	11.61	9.45	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL517"	10.4	8.95	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL518"	8.26	8.97	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL52"	8.93	8.07	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL523"	9.66	10.62	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL524"	8.57	6.84	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL6"	8.4	9.59	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL61"	8.79	8.49	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL613"	7.85	7.15	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL616"	10.64	10.28	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL617"	9.58	9.86	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL618"	11.16	11.26	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL619"	9.25	10.43	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL62"	13.17	10.19	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL621"	17.91	9.92	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL622"	9.9	9.99	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL623"	12.98	11.41	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL63"	6.75	10.25	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL633"	4.43	10.86	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL634"	9.94	9.58	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL636"	11.33	11.33	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL637"	10.23	7.83	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL638"	10.76	10.05	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL7"	11.01	11.15	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL71"	10.34	11.14	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL711"	9.49	11.9	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL712"	11.78	11.07	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL713"	10.22	11.18	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL714"	12.02	9.12	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL715"	9.48	10.95	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL72"	12.85	11.2	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL721"	12.91	11.98	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL722"	12.69	9.14	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL8"	11	10.02	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL81"	11	10.92	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL811"	12.13	12.31	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL812"	13.51	11.03	: 	: 	: 	: 	: 	: 	: 	: 
"V97120,R_S,PL814"	9.64	10.53	: 	: 	: 	: 	: 	: 	: 	: 
