"sectperf,unit,geo\time"	2018	2017		ITI4
"BES,EUR_HAB,EU28"	437.8	418.5		
"BES,EUR_HAB,FI"	766.7	732		
"BES,EUR_HAB,FI1"	769.9	735.2		
"BES,EUR_HAB,FI19"	657	600		
"BES,EUR_HAB,FI1B"	1290.3	1255.1		
"BES,EUR_HAB,FI1C"	381.4	374.1		
"BES,EUR_HAB,FI1D"	571.4	545.2		
"BES,EUR_HAB,FI2"	166.2	123.2		
"BES,EUR_HAB,FI20"	166.2	123.2		
"BES,EUR_HAB,FR"	507.3 p	494.4 p		
"BES,EUR_HAB,FR1"	: 	: 		
"BES,EUR_HAB,FR10"	: 	: 		
"BES,EUR_HAB,FR2"	: 	: 		
"BES,EUR_HAB,FR21"	: 	: 		
"BES,EUR_HAB,FR22"	: 	: 		
"BES,EUR_HAB,FR23"	: 	: 		
"BES,EUR_HAB,FR24"	: 	: 		
"BES,EUR_HAB,FR25"	: 	: 		
"BES,EUR_HAB,FR26"	: 	: 		
"BES,EUR_HAB,FR3"	: 	: 		
"BES,EUR_HAB,FR30"	: 	: 		
"BES,EUR_HAB,FR4"	: 	: 		
"BES,EUR_HAB,FR41"	: 	: 		
"BES,EUR_HAB,FR42"	: 	: 		
"BES,EUR_HAB,FR43"	: 	: 		
"BES,EUR_HAB,FR5"	: 	: 		
"BES,EUR_HAB,FR51"	: 	: 		
"BES,EUR_HAB,FR52"	: 	: 		
"BES,EUR_HAB,FR53"	: 	: 		
"BES,EUR_HAB,FR6"	: 	: 		
"BES,EUR_HAB,FR61"	: 	: 		
"BES,EUR_HAB,FR62"	: 	: 		
"BES,EUR_HAB,FR63"	: 	: 		
"BES,EUR_HAB,FR7"	: 	: 		
"BES,EUR_HAB,FR71"	: 	: 		
"BES,EUR_HAB,FR72"	: 	: 		
"BES,EUR_HAB,FR8"	: 	: 		
"BES,EUR_HAB,FR81"	: 	: 		
"BES,EUR_HAB,FR82"	: 	: 		
"BES,EUR_HAB,FR83"	: 	: 		
"BES,EUR_HAB,HR"	58.7	49.3		
"BES,EUR_HAB,HR0"	58.7	49.3		
"BES,EUR_HAB,HR02"	: 	: 		
"BES,EUR_HAB,HR03"	18.4	16.7		
"BES,EUR_HAB,HR04"	79.1	65.7		
"BES,EUR_HAB,HU"	158.6 bd	124.8 d		
"BES,EUR_HAB,HU1"	360.1 b	283		
"BES,EUR_HAB,HU10"	: 	: 		
"BES,EUR_HAB,HU11"	560.1 b	452.8		
"BES,EUR_HAB,HU12"	82.9 b	44.5		
"BES,EUR_HAB,HU2"	89.8 b	66.7		
"BES,EUR_HAB,HU21"	143.9 b	102.1		
"BES,EUR_HAB,HU22"	77.3 b	61.6		
"BES,EUR_HAB,HU23"	39.4 b	30.5		
"BES,EUR_HAB,HU3"	53 b	46.2		
"BES,EUR_HAB,HU31"	44 b	32.3		
