unit,isced11,sex,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 
NR,ED5,F,ES11	: 	12023 	11722 	11536 	12249 	11917 	11568 
NR,ED5,F,ES12	: 	4147 	3972 	4038 	4197 	4179 	3989 
NR,ED5,F,ES13	: 	2922 	2696 	2417 	2579 	2466 	2482 
NR,ED5,F,ES2	: 	16687 	15895 	15283 	15552 	15161 	14706 
NR,ED5,F,ES21	: 	8003 	7674 	7626 	8162 	7963 	7813 
NR,ED5,F,ES22	: 	2056 	1940 	1873 	1763 	1820 	1627 
NR,ED5,F,ES23	: 	1512 	1455 	1259 	1199 	1178 	1096 
NR,ED5,F,ES24	: 	5116 	4826 	4525 	4428 	4200 	4170 
NR,ED5,F,ES3	: 	23976 	21595 	18974 	19396 	19971 	19491 
NR,ED5,F,ES30	: 	23976 	21595 	18974 	19396 	19971 	19491 
NR,ED5,F,ES4	: 	21544 	21768 	20866 	21841 	22010 	20954 
NR,ED5,F,ES41	: 	8933 	8799 	8496 	9029 	9357 	8903 
NR,ED5,F,ES42	: 	8237 	8501 	8227 	8713 	8615 	8228 
NR,ED5,F,ES43	: 	4374 	4468 	4143 	4099 	4038 	3823 
NR,ED5,F,ES5	: 	62711 	59220 	55785 	56435 	56091 	55816 
NR,ED5,F,ES51	: 	38560 	35607 	32376 	32738 	31549 	31561 
NR,ED5,F,ES52	: 	20990 	20897 	20746 	21032 	22015 	21793 
NR,ED5,F,ES53	: 	3161 	2716 	2663 	2665 	2527 	2462 
NR,ED5,F,ES6	: 	42232 	38831 	36760 	35595 	34946 	33886 
NR,ED5,F,ES61	: 	35101 	32381 	30887 	29593 	29130 	28557 
NR,ED5,F,ES62	: 	6050 	5399 	4883 	4993 	4811 	4315 
NR,ED5,F,ES63	: 	565 	533 	516 	532 	528 	558 
NR,ED5,F,ES64	: 	516 	518 	474 	477 	477 	456 
NR,ED5,F,ES7	: 	11682 	11531 	11393 	11560 	10837 	9001 
NR,ED5,F,ES70	: 	11682 	11531 	11393 	11560 	10837 	9001 
NR,ED5,F,ESZ	: 	0 	0 	0 	0 	0 	0 
NR,ED5,F,ESZZ	: 	0 	0 	0 	0 	0 	0 
NR,ED5,F,EU27_2020	: 	587237 	: 	546167 d	520876 d	566163 d	: 
NR,ED5,F,EU28	: 	763399 	: 	723048 d	686860 d	740482 d	: 
NR,ED5,F,FI	: 	: z	: z	: z	: z	5 	88832 
NR,ED5,F,FI1	: 	: z	: z	: z	: z	5 	13 
NR,ED5,F,FI19	: 	: z	: z	: z	: z	5 	13 
NR,ED5,F,FI1B	: 	: z	: z	: z	: z	0 	0 
NR,ED5,F,FI1C	: 	: z	: z	: z	: z	0 	0 
NR,ED5,F,FI1D	: 	: z	: z	: z	: z	0 	0 
NR,ED5,F,FI2	: 	: z	: z	: z	: z	0 	0 
NR,ED5,F,FI20	: 	: z	: z	: z	: z	0 	0 
NR,ED5,F,FIZ	: 	: z	: z	: z	: z	0 	0 
NR,ED5,F,FIZZ	: 	: z	: z	: z	: z	0 	0 
NR,ED5,F,FR	: 	247290 	244610 	243182 	244805 	249800 d	253337 
NR,ED5,F,FR1	: 	50815 	46934 	47143 	48608 	49114 	50266 
NR,ED5,F,FR10	: 	50815 	46934 	47143 	48608 	49114 	50266 
NR,ED5,F,FRB	: 	8654 	8624 	8521 	8533 	8818 	8899 
NR,ED5,F,FRB0	: 	8654 	8624 	8521 	8533 	8818 	8899 
NR,ED5,F,FRC	: 	9358 	9579 	9682 	9543 	9992 	10311 
NR,ED5,F,FRC1	: 	5016 	5071 	5042 	4877 	5108 	5259 
NR,ED5,F,FRC2	: 	4342 	4508 	4640 	4666 	4884 	5052 
NR,ED5,F,FRD	: 	11519 	11758 	12096 	11898 	12027 	12431 
NR,ED5,F,FRD1	: 	4901 	4896 	4998 	5046 	5176 	5345 
NR,ED5,F,FRD2	: 	6618 	6862 	7098 	6852 	6851 	7086 
NR,ED5,F,FRE	: 	23405 	23176 	22531 	22786 	23784 	24614 
NR,ED5,F,FRE1	: 	17005 	17236 	16749 	17107 	17815 	18609 
NR,ED5,F,FRE2	: 	6400 	5940 	5782 	5679 	5969 	6005 
NR,ED5,F,FRF	: 	21159 	21640 	21506 	21625 	22058 	21962 
NR,ED5,F,FRF1	: 	7866 	8049 	8013 	8014 	8039 	7929 
NR,ED5,F,FRF2	: 	4779 	4740 	4722 	4707 	4866 	4890 
NR,ED5,F,FRF3	: 	8514 	8851 	8771 	8904 	9153 	9143 
NR,ED5,F,FRG	: 	15481 	14318 	14080 	13939 	14519 	14599 
NR,ED5,F,FRG0	: 	15481 	14318 	14080 	13939 	14519 	14599 
NR,ED5,F,FRH	: 	12547 	12406 	12406 	12205 	12389 	12584 
NR,ED5,F,FRH0	: 	12547 	12406 	12406 	12205 	12389 	12584 
NR,ED5,F,FRI	: 	20194 	19832 	19544 	19912 	20405 	20639 
NR,ED5,F,FRI1	: 	11660 	11259 	11031 	11327 	11489 	11868 
NR,ED5,F,FRI2	: 	2642 	2698 	2793 	2747 	2737 	2750 
NR,ED5,F,FRI3	: 	5892 	5875 	5720 	5838 	6179 	6021 
NR,ED5,F,FRJ	: 	20854 	20717 	20991 	21020 	20862 	21292 
NR,ED5,F,FRJ1	: 	9755 	9667 	9748 	9807 	9792 	10101 
NR,ED5,F,FRJ2	: 	11099 	11050 	11243 	11213 	11070 	11191 
NR,ED5,F,FRK	: 	28902 	30400 	29544 	29593 	30332 	30779 
NR,ED5,F,FRK1	: 	4594 	4506 	4428 	4570 	4803 	5083 
