"prof_pos,sex,sectperf,unit,geo\time"	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980
"TOTAL,T,TOTAL,PC_EMP_HC,CZ05"	1.4568	1.4271	1.3828	1.3875	1.3925	1.4107	1.2985	1.238	1.1772	1.1252	1.0516	1.0481	0.9929	0.8967	0.8928	0.7984	0.7696	0.7286	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,CZ06"	2.8925	2.7636	2.6623	2.7409	2.4609	2.3154	2.267	2.0015	1.9454	1.8769	1.7758	1.652	1.6128	1.6314	1.4876	1.377	1.3263	1.2978	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,CZ07"	1.5845	1.5597	1.4846	1.4549	1.4366	1.3916	1.2527	1.1402	1.0888	0.9833	0.9431	0.9276	0.9514	0.9602	0.8103	0.696	0.6699	0.6141	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,CZ08"	1.3949	1.4118	1.2857	1.3315	1.3245	1.1584	1.2136	1.1593	1.0432	0.9632	0.9481	0.9613	0.8313	0.7245	0.7393	0.7025	0.6265	0.7145	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DE"	: 	2.399	: 	2.3378	: 	2.2279	: 	2.1951	: 	2.056	: 	1.9299	: 	1.8787	: 	1.8739	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DE1"	: 	3.6776	: 	3.4074	: 	3.2425	: 	3.2163	: 	2.9481	: 	2.8067	: 	2.6893	: 	2.6402	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DE11"	: 	4.4187	: 	3.932	: 	3.7333	: 	3.5995	: 	3.2174	: 	3.1912	: 	3.0969	: 	2.8958	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DE12"	: 	3.8634	: 	3.6136	: 	3.4223	: 	3.5333	: 	3.2736	: 	3.0144	: 	2.9365	: 	2.9496	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DE13"	: 	2.3249	: 	2.2384	: 	2.1403	: 	2.1399	: 	1.9852	: 	1.8717	: 	1.6506	: 	1.6948	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DE14"	: 	3.3991	: 	3.3656	: 	3.2592	: 	3.2532	: 	3.068	: 	2.8164	: 	2.6885	: 	2.7627	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DE2"	: 	2.4746	: 	2.4726	: 	2.3216	: 	2.2979	: 	2.2646	: 	2.1035	: 	2.1814	: 	2.1421	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DE21"	: 	3.7131	: 	3.8885	: 	3.6767	: 	3.7458	: 	3.756	: 	3.5676	: 	3.791	: 	3.6862	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DE22"	: 	0.9592	: 	0.7814	: 	: c	: 	: c	: 	: c	: 	: c	: 	: c	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DE23"	: 	1.8121	: 	1.5991	: 	: c	: 	: c	: 	: c	: 	: c	: 	: c	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DE24"	: 	1.5445	: 	1.511	: 	1.3721	: 	1.3452	: 	1.3222	: 	1.1332	: 	1.0119	: 	1.0689	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DE25"	: 	2.5325	: 	2.6304	: 	2.5745	: 	2.4477	: 	2.2988	: 	2.0483	: 	2.1127	: 	2.2032	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DE26"	: 	2.4107	: 	1.9941	: 	2.0033	: 	1.922	: 	1.7832	: 	1.6879	: 	1.7316	: 	1.6012	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DE27"	: 	1.2	: 	1.2405	: 	0.9727	: 	0.9065	: 	0.806	: 	0.8452	: 	0.7787	: 	0.7542	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DE3"	: 	2.8213	: 	2.996	: 	2.9398	: 	2.9747	: 	2.8005	: 	2.6556	: 	2.7135	: 	2.8219	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DE30"	: 	2.8213	: 	2.996	: 	2.9398	: 	2.9747	: 	2.8005	: 	2.6556	: 	2.7135	: 	2.8219	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DE4"	: 	1.3321	: 	1.2616	: 	1.2254	: 	1.1919	: 	0.9736	: 	0.8646	: 	0.8491	: 	0.8309	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DE40"	: 	1.3321	: 	1.2616	: 	1.2254	: 	1.1919	: 	0.9736	: 	0.8646	: 	0.8491	: 	0.8309	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DE5"	: 	3.1151	: 	3.2943	: 	3.0757	: 	3.4081	: 	3.1927	: 	3.2279	: 	3.0839	: 	3.4137	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DE50"	: 	3.1151	: 	3.2943	: 	3.0757	: 	3.4081	: 	3.1927	: 	3.2279	: 	3.0839	: 	3.4137	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DE6"	: 	2.7583	: 	2.6168	: 	2.5019	: 	2.4539	: 	2.3003	: 	2.2152	: 	2.1191	: 	2.16	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DE60"	: 	2.7583	: 	2.6168	: 	2.5019	: 	2.4539	: 	2.3003	: 	2.2152	: 	2.1191	: 	2.16	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DE7"	: 	2.3636	: 	2.3462	: 	2.1848	: 	2.2933	: 	2.2292	: 	2.178	: 	2.0401	: 	2.0161	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DE71"	: 	2.6149	: 	2.6183	: 	2.3209	: 	2.5571	: 	2.4831	: 	2.5137	: 	2.3564	: 	2.3353	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DE72"	: 	2.4346	: 	2.3972	: 	2.4147	: 	2.303	: 	2.1889	: 	2.2265	: 	2.1346	: 	2.1238	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DE73"	: 	1.47	: 	1.4216	: 	1.5488	: 	1.4508	: 	1.4325	: 	1.0656	: 	0.9516	: 	0.8619	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DE8"	: 	1.5193	: 	1.4957	: 	1.5251	: 	1.4971	: 	1.321	: 	1.1615	: 	1.1082	: 	1.1192	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,DE80"	: 	1.5193	: 	1.4957	: 	1.5251	: 	1.4971	: 	1.321	: 	1.1615	: 	1.1082	: 	1.1192	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
