indic_env,wst_oper,geo\time	2018 	2016 	2014 	2012 	2010 	2008 	2006 	2004 
CAP,DSP_I,DEA5	478500 	479000 	: c	450000 	189000 	905000 	1016552 	877340 
CAP,DSP_I,DEB	: c	421300 	: c	: c	: c	: c	: c	570000 
CAP,DSP_I,DEB1	0 	: c	0 	0 	0 	0 	0 	: 
CAP,DSP_I,DEB2	0 	0 	0 	0 	0 	0 	0 	: 
CAP,DSP_I,DEB3	: c	: c	: c	: c	: c	: c	400000 	570000 
CAP,DSP_I,DEC	0 	0 	0 	: c	: c	: c	: c	: c
CAP,DSP_I,DEC0	0 	0 	0 	: c	: c	: 	: 	: 
CAP,DSP_I,DED	0 	0 	0 	0 	0 	0 	: c	: c
CAP,DSP_I,DED1	: 	: 	: 	: 	: 	0 	0 	: 
CAP,DSP_I,DED2	0 	0 	0 	0 	0 	0 	: c	: c
CAP,DSP_I,DED3	: 	: 	: 	: 	: 	0 	0 	: 
CAP,DSP_I,DED4	0 	0 	0 	0 	0 	: 	: 	: 
CAP,DSP_I,DED5	0 	0 	0 	0 	0 	: 	: 	: 
CAP,DSP_I,DEE	525200 	360167 	372000 	372000 	792000 	: c	0 	: 
CAP,DSP_I,DEE0	525200 	360167 	372000 	372000 	792000 	: c	0 	: 
CAP,DSP_I,DEF	: c	: c	631000 	629000 	774000 	777127 	743104 	731260 
CAP,DSP_I,DEF0	: c	: c	631000 	629000 	774000 	777127 	743104 	731260 
CAP,DSP_I,DEG	0 	0 	0 	0 	0 	0 	0 	: 
CAP,DSP_I,DEG0	0 	0 	0 	0 	0 	0 	0 	: 
CAP,DSP_I,DK	186000 	3418 	231418 	231418 	256584 	256584 	3450000 e	: 
CAP,DSP_I,DK0	186000 	3418 	231418 	231418 	256584 	: 	: 	: 
CAP,DSP_I,DK01	0 	0 	0 	0 	25166 	25166 	: 	: 
CAP,DSP_I,DK02	6000 	3418 	3418 	3418 	3418 	3418 	: 	: 
CAP,DSP_I,DK03	180000 	0 	160000 	160000 	160000 	160000 	: 	: 
CAP,DSP_I,DK04	0 	0 	0 	0 	0 	0 	: 	: 
CAP,DSP_I,DK05	0 	0 	68000 	68000 	68000 	68000 	: 	: 
CAP,DSP_I,EE	50 	60 	20 	56 e	21 	0 	41 	2457 s
CAP,DSP_I,EE0	50 	60 	20 	56 e	21 	: 	: 	: 
CAP,DSP_I,EE00	50 	60 	20 	56 e	21 	: 	: 	: 
CAP,DSP_I,EL	26022 	21078 	21078 	21078 	21299 	14903 	13067 	: 
CAP,DSP_I,EL1	: 	: 	: 	7344 	7343 	2751 	35 	: 
CAP,DSP_I,EL11	: 	: 	: 	1879 	1879 	718 	: 	: 
CAP,DSP_I,EL12	: 	: 	: 	3108 	3107 	932 	: c	: 
CAP,DSP_I,EL13	: 	: 	: 	378 	378 	228 	: 	: 
CAP,DSP_I,EL14	: 	: 	: 	1979 	1979 	873 	: 	: 
CAP,DSP_I,EL2	: 	: 	: 	10054 	9674 	5577 	: 	: 
CAP,DSP_I,EL21	: 	: 	: 	3347 	3195 	232 	: 	: 
CAP,DSP_I,EL22	: 	: 	: 	55 	55 	43 	: 	: 
CAP,DSP_I,EL23	: 	: 	: 	425 	412 	287 	: 	: 
CAP,DSP_I,EL24	: 	: 	: 	725 	510 	4812 	: 	: 
CAP,DSP_I,EL25	: 	: 	: 	5502 	5502 	203 	: 	: 
CAP,DSP_I,EL3	4129 	3374 	3374 	3374 	3976 	4487 	11032 	: 
CAP,DSP_I,EL30	4129 	3374 	3374 	3374 	3976 	4487 	: c	: 
CAP,DSP_I,EL4	875 	306 	306 	306 	306 	2088 	2000 	: 
CAP,DSP_I,EL41	123 	21 	21 	21 	21 	96 	: 	: 
CAP,DSP_I,EL42	578 	140 	140 	140 	140 	135 	: 	: 
CAP,DSP_I,EL43	174 	145 	145 	145 	145 	1857 	: c	: 
CAP,DSP_I,EL5	12058 	8712 	8712 	: 	: 	: 	: 	: 
CAP,DSP_I,EL51	3845 	1879 	1879 	: 	: 	: 	: 	: 
CAP,DSP_I,EL52	4057 	3108 	3108 	: 	: 	: 	: 	: 
CAP,DSP_I,EL53	504 	378 	378 	: 	: 	: 	: 	: 
